method,issue
"org.apache.pdfbox.util.PDFStreamEngine.processStream(PDPage, PDResources, COSStream)",PDFBOX-2126
org.apache.pdfbox.util.PDFStreamEngine.processSubStream(COSStream),PDFBOX-2126
"org.apache.pdfbox.pdfviewer.PageDrawer.drawPage(Graphics, PDPage, Dimension)",
org.apache.pdfbox.pdfviewer.PageDrawer.fillPath(int),PDFBOX-1893
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),"PDFBOX-2893, PDFBOX-1893"
org.apache.pdfbox.util.PDFStreamEngine.processEncodedText(byte[]),PDFBOX-2126
org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition),PDFBOX-1893
"org.apache.pdfbox.util.operator.pagedrawer.FillEvenOddRule.process(PDFOperator, List<COSBase>)",
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.appendChild(PDOutlineItem),
"org.apache.pdfbox.util.operator.pagedrawer.Invoke.process(PDFOperator, List<COSBase>)","PDFBOX-2126, PDFBOX-1893"
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getNextSibling(),
"org.apache.pdfbox.util.operator.ShowText.process(PDFOperator, List<COSBase>)",PDFBOX-2126
org.apache.pdfbox.io.PushBackInputStream.peek(),
"org.apache.pdfbox.util.operator.ShowTextGlyph.process(PDFOperator, List<COSBase>)",PDFBOX-2126
org.apache.pdfbox.pdmodel.font.PDFont.getAdobeFontMetrics(),
"org.apache.pdfbox.pdmodel.font.PDFont.addAdobeFontMetric(Map<String, FontMetric>, String)",
"org.apache.pdfbox.filter.LZWFilter.encode(InputStream, OutputStream, COSDictionary, int)",PDFBOX-1893
org.apache.pdfbox.pdmodel.graphics.xobject.CompositeImage.createMaskedImage(COSArray),
"org.apache.pdfbox.filter.LZWFilter.decode(InputStream, OutputStream, COSDictionary, int)",PDFBOX-1893
"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float)",
org.apache.pdfbox.pdfparser.PDFParser.parse(),
org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(),PDFBOX-2893
org.apache.pdfbox.pdfparser.PDFParser.parseObject(),
"org.apache.pdfbox.util.operator.pagedrawer.FillNonZeroRule.process(PDFOperator, List<COSBase>)",
org.apache.pdfbox.filter.LZWDictionary.visit(byte[]),PDFBOX-1893
org.apache.pdfbox.examples.pdmodel.Annotation.main(String[]),
org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(),PDFBOX-2893
org.apache.pdfbox.cos.COSNumber.get(String),
org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(),PDFBOX-2893
org.apache.pdfbox.pdmodel.font.FontManager.loadFonts(),
org.apache.pdfbox.pdmodel.font.PDType1Font.getawtFont(),
"org.apache.pdfbox.util.operator.pagedrawer.StrokePath.process(PDFOperator, List<COSBase>)",PDFBOX-1893
org.apache.pdfbox.pdfviewer.PageDrawer.strokePath(),PDFBOX-1893
org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(),PDFBOX-2893
"org.apache.pdfbox.lucene.IndexFiles.index(File, boolean, String)",
org.apache.pdfbox.cos.COSDocument.finalize(),
org.apache.pdfbox.lucene.IndexFiles.main(String[]),
org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(),PDFBOX-2893
"org.apache.pdfbox.pdmodel.encryption.SecurityHandler.decryptString(COSString, long, long)",PDFBOX-1973
"org.apache.pdfbox.filter.LZWNode.setNode(byte, LZWNode)",PDFBOX-1893
org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(),PDFBOX-2893
"org.apache.pdfbox.pdmodel.font.PDSimpleFont.writeFont(Graphics2D, AffineTransform, float, float, GlyphVector)",
org.apache.pdfbox.pdmodel.font.PDType1CFont.prepareAwtFont(CFFFont),
org.apache.pdfbox.pdmodel.font.PDType1CFont.getawtFont(),
"org.apache.pdfbox.util.operator.pagedrawer.CurveTo.process(PDFOperator, List<COSBase>)",
org.apache.pdfbox.filter.LZWDictionary.getData(long),PDFBOX-1893
org.apache.pdfbox.filter.LZWDictionary.getNode(byte[]),PDFBOX-1893
"org.apache.pdfbox.util.operator.pagedrawer.EndPath.process(PDFOperator, List<COSBase>)",
org.apache.pdfbox.pdfviewer.PageDrawer.endPath(),
org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(),PDFBOX-2893
org.apache.pdfbox.filter.LZWNode.getNode(byte[]),PDFBOX-1893
org.apache.pdfbox.cos.COSFloat.COSFloat(float),
org.apache.pdfbox.cos.COSFloat.setValue(float),
"org.apache.pdfbox.encoding.Encoding.addCharacterEncoding(int, String)",
"org.apache.pdfbox.pdfviewer.PageDrawer.transformedPoint(double, double)",
org.apache.pdfbox.encoding.Encoding.loadGlyphList(String),
org.apache.pdfbox.pdmodel.font.FontManager.normalizeFontname(String),
"org.apache.pdfbox.filter.ASCIIHexFilter.decode(InputStream, OutputStream, COSDictionary, int)",PDFBOX-1893
org.apache.pdfbox.ExtractText.startExtraction(String[]),
org.apache.pdfbox.ExtractText.main(String[]),
org.apache.pdfbox.pdmodel.PDPage.findCropBox(),
"org.apache.pdfbox.util.operator.SetTextFont.process(PDFOperator, List<COSBase>)",
org.apache.pdfbox.util.PDFStreamEngine.getFonts(),
org.apache.pdfbox.filter.LZWNode.LZWNode(long),
org.apache.pdfbox.util.ResourceLoader.loadResource(String),
"org.apache.pdfbox.filter.ASCIIHexFilter.encode(InputStream, OutputStream, COSDictionary, int)","PDFBOX-3382, PDFBOX-1893"
org.apache.pdfbox.pdfviewer.PageDrawer.PageDrawer(),
org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument),PDFBOX-1973
"org.apache.pdfbox.filter.ASCII85Filter.encode(InputStream, OutputStream, COSDictionary, int)",PDFBOX-1893
org.apache.pdfbox.pdfparser.NonSequentialPDFParser.createTmpFile(InputStream),
"org.apache.pdfbox.util.DateConverter.parseDate(String, String[], ParsePosition)",
"org.apache.pdfbox.util.DateConverter.parseSimpleDate(String, String[], ParsePosition)",
org.apache.pdfbox.pdmodel.PDPage.findMediaBox(),
org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean),PDFBOX-2893
org.apache.pdfbox.pdfparser.PDFParser.parseXrefTable(long),
org.apache.pdfbox.io.NBitOutputStream.write(long),
