method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.avro.io.Perf.ReadLongSmall.readInternal(Decoder),9,2,0,0,1,1
org.apache.avro.generic.GenericDatumWriter.getArrayElements(Object),3,59,6,19,0,0
org.apache.avro.io.DirectBinaryDecoder.ReuseByteReader.ReuseByteReader(ByteBufferInputStream),3,3,2,1,0,0
org.apache.avro.Protocol.getNamespace(),2,28,4,15,0,0
org.apache.avro.ipc.ResponderServlet.ResponderServlet(Responder),9,3,2,1,0,0
"org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder)",3,59,0,0,5,21
org.apache.avro.ipc.ByteBufferInputStream.readBuffer(int),9,5,2,1,1,2
"org.apache.avro.GenerateBlockingData.writeBlock(Encoder, FileOutputStream)",9,55,6,21,1,1
org.apache.avro.io.ParsingDecoder.skipAction(),9,2,0,0,1,1
org.apache.avro.reflect.ReflectDatumReader.ReflectDatumReader(),-1,1,0,0,0,0
org.apache.avro.ipc.ByteBufferOutputStream.getBufferList(),0,233,10,59,1,1
org.apache.avro.io.parsing.Symbol.ErrorAction.ErrorAction(String),4,2,1,1,0,0
org.apache.avro.ipc.AvroRemoteException.getValue(),9,67,7,27,0,0
org.apache.avro.io.BinaryDecoder.ByteArrayByteSource.close(),9,3,0,0,1,2
org.apache.avro.file.DataFileWriter.close(),3,73,6,21,4,6
org.apache.avro.io.ValidatingEncoder.isTopEmpty(),-1,1,0,0,0,0
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map)",3,67,6,20,3,13
org.apache.avro.Schema.parse(String),5,86,6,15,4,21
org.apache.avro.io.parsing.ResolvingGrammarGenerator.LitS2.hashCode(),9,4,0,0,2,2
org.apache.avro.io.Encoder.setItemCount(long),0,91,6,39,0,0
org.apache.avro.io.parsing.Parser.popSymbol(),0,61,7,21,0,0
org.apache.avro.ipc.DatagramTransceiver.getRemoteName(),-1,1,0,0,0,0
org.apache.avro.util.Utf8.Utf8(),0,14,5,5,0,0
"org.apache.avro.generic.GenericDatumReader.newRecord(Object, Schema)",5,70,5,31,1,1
org.apache.avro.Protocol.parseName(JsonNode),9,55,6,24,2,1
org.apache.avro.io.JsonDecoder.skipString(),9,12,0,0,3,5
"org.apache.avro.file.LengthLimitedInputStream.read(byte[], int, int)",9,3,1,1,1,1
org.apache.avro.Schema.SeenPair.hashCode(),-1,1,0,0,0,0
org.apache.avro.ipc.stats.StatsPluginOverhead.sendRpcs(boolean),9,236,1,1,10,59
"org.apache.avro.specific.SpecificDatumReader.getField(Object, String, int)",9,2,0,0,1,1
org.apache.avro.tool.Tool.getName(),9,6,2,3,0,0
"org.apache.avro.ipc.Requestor.writeRequest(Schema, Object, Encoder)",6,218,10,59,0,0
org.apache.avro.io.Decoder.readInt(),0,45,4,29,0,0
org.apache.avro.ipc.stats.Histogram.TreeMapSegmenter.getBuckets.(Anon_1).next(),9,2,0,0,1,1
"org.apache.avro.ipc.stats.StatsServlet.writeMethod(Writer, Message, FloatHistogram)",9,13,4,3,1,6
org.apache.avro.specific.SpecificExceptionBase.getSchema(),0,30,5,12,0,0
"org.apache.avro.io.parsing.Symbol.Alternative.Alternative(Symbol[], String[])",2,6,2,2,2,1
org.apache.avro.Schema.Schema(Type),0,18,2,12,0,0
"org.apache.avro.Schema.RecordSchema.RecordSchema(Name, String, boolean)",3,41,4,20,3,2
"org.apache.avro.io.JsonEncoder.doAction(Symbol, Symbol)",9,3,0,0,2,1
org.apache.avro.Protocol.Message.toString(),9,15,0,0,4,5
org.apache.avro.file.DataFileWriter.assertNotOpen(),1,117,8,28,1,1
"org.apache.avro.reflect.ReflectDatumReader.readInt(Object, Schema, Decoder)",9,3,0,0,1,2
org.apache.avro.io.BlockingBinaryEncoder.startItem(),9,4,0,0,2,2
org.apache.avro.generic.GenericData.Record.toString(),9,11,0,0,4,6
org.apache.avro.io.BinaryDecoder.arrayNext(),9,8,0,0,5,3
"org.apache.avro.io.BinaryDecoder.ByteSource.read(byte[], int, int)",9,6,0,0,1,5
"org.apache.avro.io.DatumReader.read(D, Decoder)",0,88,8,23,0,0
org.apache.avro.io.JsonEncoder.writeDouble(double),9,7,0,0,3,3
org.apache.avro.reflect.ReflectData.getFields(Class),5,40,5,17,2,1
org.apache.avro.Schema.toString(boolean),2,130,9,33,2,2
org.apache.avro.RandomData.iterator.(Anon_1).next(),9,20,0,0,3,13
org.apache.avro.io.Decoder.readFloat(),0,41,4,28,0,0
"org.apache.avro.io.BinaryDecoder.ByteSource.tryReadRaw(byte[], int, int)",0,11,2,6,0,0
org.apache.avro.specific.SpecificCompiler.enqueue(Schema),3,11,2,2,2,6
"org.apache.avro.io.parsing.Symbol.ResolvingAction.flatten(Map, Map)",9,3,0,0,1,2
org.apache.avro.file.SeekableInput.seek(long),0,5,2,2,0,0
"org.apache.avro.ipc.HttpTransceiver.writeLength(int, OutputStream)",0,2,1,1,0,0
org.apache.avro.ipc.Responder.respond(List),6,223,3,8,9,59
"org.apache.avro.RandomData.generate(Schema, Random, int)",9,20,1,1,2,13
"org.apache.avro.generic.GenericDatumReader.setField(Object, String, int, Object)",5,70,5,31,1,1
"org.apache.avro.generic.GenericDatumReader.readMap(Object, Schema, ResolvingDecoder)",5,70,0,0,4,32
org.apache.avro.io.JsonDecoder.readIndex(),9,15,0,0,3,7
org.apache.avro.Schema.hasEnumSymbol(String),9,2,0,0,1,1
org.apache.avro.Schema.LockableArrayList.LockableArrayList(List),3,14,4,7,0,0
"org.apache.avro.generic.GenericData.instanceOf(Schema, Object)",2,15,2,1,2,11
"org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)",5,70,0,0,4,31
"org.apache.avro.io.Perf.ReadInt.ReadInt(String, String)",9,2,1,1,0,0
"org.apache.avro.io.ValidatingEncoder.ValidatingEncoder(Symbol, Encoder)",9,30,7,14,1,1
org.apache.avro.ipc.Requestor.getTransceiver(),6,218,10,59,0,0
org.apache.avro.io.Decoder.readArrayStart(),5,8,4,3,0,0
org.apache.avro.Protocol.getTypes(),4,10,4,6,0,0
org.apache.avro.io.JsonDecoder.readBoolean(),9,11,0,0,4,4
org.apache.avro.generic.GenericData.Fixed.toString(),-1,1,0,0,0,0
org.apache.avro.file.LengthLimitedInputStream.remainingInt(),0,3,1,2,0,0
org.apache.avro.Schema.IntSchema.IntSchema(),1,11,2,8,1,1
org.apache.avro.io.DirectBinaryDecoder.readFloat(),9,2,0,0,1,1
org.apache.avro.io.JsonDecoder.checkFixed(int),4,16,2,3,4,4
"org.apache.avro.io.JsonEncoder.writeFixed(byte[], int, int)",9,9,0,0,3,4
org.apache.avro.Schema.getFullName(),1,37,6,9,1,1
org.apache.avro.io.BinaryDecoder.InputStreamByteSource.InputStreamByteSource(InputStream),2,8,4,2,1,1
org.apache.avro.io.BinaryDecoder.doSkipBytes(long),0,13,5,4,1,1
org.apache.avro.ipc.Transceiver.getRemoteName(),6,86,9,30,0,0
org.apache.avro.io.Encoder.writeLong(long),0,126,6,46,0,0
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),9,25,7,6,2,4
org.apache.avro.specific.SpecificCompiler.compile(Schema),2,39,3,9,2,19
org.apache.avro.io.Encoder.writeArrayEnd(),0,76,6,32,0,0
org.apache.avro.io.BinaryDecoder.readInt(),2,21,3,7,3,3
org.apache.avro.generic.GenericData.Fixed.bytes(byte[]),0,6,3,3,0,0
org.apache.avro.io.DirectBinaryDecoder.readInt(),9,3,2,1,0,0
org.apache.avro.io.BinaryDecoder.ensureBounds(int),1,9,1,4,2,3
org.apache.avro.io.BlockingBinaryEncoder.expandStack(),0,10,3,3,1,1
org.apache.avro.ipc.DatagramTransceiver.DatagramTransceiver(SocketAddress),-1,1,0,0,0,0
org.apache.avro.io.ValidatingDecoder.readString(Utf8),9,8,0,0,3,3
org.apache.avro.io.BinaryEncoder.writeBytes(ByteBuffer),9,2,0,0,1,1
org.apache.avro.generic.GenericData.induce(Object),9,24,0,0,3,13
org.apache.avro.io.ValidatingDecoder.readDouble(),9,8,0,0,3,3
org.apache.avro.io.ValidatingEncoder.startItem(),9,3,0,0,1,2
org.apache.avro.ipc.Responder.addRPCPlugin(RPCPlugin),9,32,13,9,0,0
org.apache.avro.tool.RpcReceiveTool.run2(PrintStream),9,265,12,58,1,1
org.apache.avro.generic.GenericData.Fixed.hashCode(),-1,1,0,0,0,0
org.apache.avro.io.Decoder.readString(Utf8),0,209,10,56,0,0
org.apache.avro.ipc.stats.Histogram.getHistogram(),-1,1,0,0,0,0
org.apache.avro.io.BinaryEncoder.writeLong(long),9,3,1,1,1,1
org.apache.avro.file.DataFileStream.initialize(InputStream),5,90,2,2,5,29
org.apache.avro.io.DirectBinaryDecoder.init(InputStream),3,14,5,4,0,0
org.apache.avro.file.DeflateCodec.DeflateCodec(int),9,2,1,1,0,0
org.apache.avro.Schema.NamedSchema.equalNames(NamedSchema),0,6,2,3,1,1
org.apache.avro.io.ValidatingEncoder.writeNull(),9,8,0,0,3,3
org.apache.avro.Schema.createRecord(List),4,66,5,22,4,3
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(),0,128,8,30,0,0
org.apache.avro.io.BinaryEncoder.writeMapEnd(),9,2,0,0,1,1
"org.apache.avro.generic.GenericDatumReader.readFixed(Object, Schema, Decoder)",5,70,4,32,2,4
"org.apache.avro.io.DatumWriter.write(D, Encoder)",0,143,9,31,0,0
org.apache.avro.ipc.ByteBufferOutputStream.write(int),-1,1,0,0,0,0
org.apache.avro.Protocol.Message.hashCode(),9,3,0,0,2,1
"org.apache.avro.RandomData.RandomData(Schema, int, long)",0,2,1,1,0,0
org.apache.avro.generic.GenericDatumWriter.getArraySize(Object),3,59,6,19,1,1
org.apache.avro.Schema.Field.Order.valueOf(),4,40,4,20,0,0
org.apache.avro.file.DataFileWriter.init(OutputStream),1,114,8,28,2,6
"org.apache.avro.ipc.stats.StatsPlugin.publish(RPCContext, Stopwatch)",9,11,2,1,4,4
org.apache.avro.io.BinaryDecoder.mapNext(),5,86,6,27,5,3
org.apache.avro.io.BinaryEncoder.writeEnum(int),9,2,0,0,1,1
org.apache.avro.ipc.SocketTransceiver.close(),9,214,11,59,1,1
"org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema, Map)",9,23,0,0,4,11
org.apache.avro.io.JsonEncoder.writeArrayStart(),9,9,0,0,3,3
"org.apache.avro.file.DataFileWriter.setMetaInternal(String, byte[])",9,5,2,1,2,1
org.apache.avro.file.DataFileStream.DataFileStream(DatumReader),6,89,7,29,0,0
org.apache.avro.ipc.LocalTransceiver.transceive(List),9,209,0,0,10,59
org.apache.avro.ipc.SocketTransceiver.writeLength(int),9,2,1,1,0,0
org.apache.avro.io.Perf.ReadDouble.ReadDouble(),9,9,3,6,0,0
org.apache.avro.util.Utf8.Utf8(String),0,197,9,59,0,0
org.apache.avro.io.Perf.ReadBoolean.ReadBoolean(),9,9,3,6,0,0
org.apache.avro.reflect.ReflectResponder.getDatumWriter(Schema),9,8,0,0,5,2
org.apache.avro.specific.SpecificCompiler.main(String[]),9,44,0,0,5,31
org.apache.avro.io.BinaryDecoder.init(InputStream),9,10,1,1,4,3
"org.apache.avro.io.JsonDecoder.doAction(Symbol, Symbol)",9,4,0,0,2,2
"org.apache.avro.generic.GenericDatumWriter.writeEnum(Schema, Object, Encoder)",3,59,5,24,2,2
