class path,method name,method arguments,Time,OwnTime,count
lang\java\ipc\src\main\java\org\apache\avro\ipc\RPCPlugin.java,<init>,,0,0,26
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,doSkipItems,,0,0,21
lang\java\avro\src\main\java\org\apache\avro\Schema.java,parseAliases,JsonNode,0,0,14
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,put,"Object, Object",1,0,15
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,<init>,,0,0,255
lang\java\ipc\src\main\java\org\apache\avro\ipc\SaslSocketServer.java,<init>,"Responder, SocketAddress, SaslSocketServer$SaslServerFactory",10,0,3
lang\java\avro\src\main\java\org\apache\avro\file\SnappyCodec.java,<init>,,0,0,11
lang\java\ipc\src\main\java\org\apache\avro\ipc\Transceiver.java,<init>,,0,0,32
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,writeInt,int,156931,0,16
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,getMeta,String,1,0,2
lang\java\mapred\src\main\java\org\apache\avro\mapred\tether\TetherKeySerialization.java,getDeserializer,Class,1,0,1
lang\java\maven-plugin\src\main\java\org\apache\avro\mojo\SchemaMojo.java,<init>,,0,0,4
lang\java\avro\src\main\java\org\apache\avro\io\DirectBinaryEncoder.java,writeLong,long,0,0,5
lang\java\avro\src\main\java\org\apache\avro\file\DeflateCodec.java,decompress,ByteBuffer,0,0,1
lang\java\mapred\src\main\java\org\apache\avro\mapred\tether\TetherKeySerialization.java,<init>,,0,0,5
lang\java\mapred\src\main\java\org\apache\avro\mapred\HadoopReducer.java,getCollector,OutputCollector,0,0,2
lang\java\tools\src\main\java\org\apache\avro\tool\IdlTool.java,run,"InputStream, PrintStream, PrintStream, List",19,0,4
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,doReadBytes,"byte[], int, int",0,0,22
lang\java\avro\src\main\java\org\apache\avro\io\parsing\SkipParser.java,<init>,"Symbol, Parser$ActionHandler, SkipParser$SkipHandler",0,0,88
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,writeZero,,0,0,7
lang\java\avro\src\main\java\org\apache\avro\io\parsing\SkipParser.java,skipSymbol,Symbol,8181,0,4
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,writeFixed,"byte[], int, int",0,0,10
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,getBytesFor,String,0,0,28
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,equals,Object,0,0,5
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,appendAllFrom,"DataFileStream, boolean",0,0,1
lang\java\tools\src\main\java\org\apache\avro\tool\RpcSendTool.java,<init>,,0,0,3
lang\java\avro\src\main\java\org\apache\avro\util\ByteBufferOutputStream.java,writeBuffer,ByteBuffer,0,0,7
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,skipString,,0,0,9
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readFixed,"byte[], int, int",0,0,3
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,doReadItemCount,,0,0,51
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,sync,,0,0,3
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,<init>,GenericData,0,0,2
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,entrySet,,1,0,1
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,assertNotOpen,,0,0,9
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,containsKey,Object,0,0,2
lang\java\avro\src\main\java\org\apache\avro\util\ByteBufferOutputStream.java,<init>,,0,0,15
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readBytes,ByteBuffer,0,0,2
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,append,Object,0,0,1
lang\java\avro\src\main\java\org\apache\avro\AvroTypeException.java,<init>,String,0,0,27
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readString,Utf8,0,0,6
lang\java\avro\src\test\java\org\apache\avro\io\LegacyBinaryEncoder.java,encodeString,"byte[], int, int",0,0,1
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,values,,0,0,1
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readFloat,,0,0,3
lang\java\avro\src\main\java\org\apache\avro\file\CodecFactory.java,snappyCodec,,1,0,2
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readDouble,,0,0,6
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,setLength,int,0,0,8
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,setMetaInternal,"String, String",0,0,1
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,containsValue,Object,0,0,3
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,setByteLength,int,0,0,24
lang\java\ipc\src\main\java\org\apache\avro\ipc\CallFuture.java,await,,0,0,6
lang\java\tools\src\main\java\org\apache\avro\tool\DataFileReadTool.java,run,"InputStream, PrintStream, PrintStream, List",5,0,3
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,<init>,,0,0,131
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,mapNext,,0,0,5
lang\java\avro\src\test\java\org\apache\avro\io\LegacyBinaryEncoder.java,setItemCount,long,0,0,1
lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroMapper.java,<init>,,0,0,2
lang\java\ipc\src\main\java\org\apache\avro\ipc\SaslSocketServer.java,<init>,"Responder, SocketAddress",10,0,2
lang\java\avro\src\main\java\org\apache\avro\io\Decoder.java,readFixed,byte[],0,0,13
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,skipArray,,0,0,4
lang\java\avro\src\main\java\org\apache\avro\Schema.java,toJson,"Schema$Names, JsonGenerator",0,0,9
lang\java\mapred\src\main\java\org\apache\avro\mapred\tether\TetheredProcess.java,startSubprocess,JobConf,0,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,writeArrayStart,,0,0,12
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,skipString,,0,0,4
lang\java\tools\src\main\java\org\apache\avro\tool\IdlTool.java,<init>,,0,0,10
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,arrayNext,,0,0,5
lang\java\tools\src\main\java\org\apache\avro\tool\Main.java,main,String[],2,0,2
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readArrayStart,,0,0,5
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,remove,Object,0,0,2
lang\java\avro\src\main\java\org\apache\avro\Schema.java,createMap,Schema,0,0,1
