class path,method name,method arguments,Time,OwnTime,count
lang\java\avro\src\test\java\org\apache\avro\reflect\TestReflectData.java,testWeakSchemaCaching,,39727,0,1
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,getRecordState,"Object, Schema",23775,257,1000226
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,getFieldAccessors,"Class, Schema",23518,437,1000226
lang\java\avro\src\main\java\org\apache\avro\Schema.java,createRecord,"String, String, String, boolean",13825,392,1000889
lang\java\avro\src\test\java\org\apache\avro\TestDataFileConcat.java,testConcatenateFiles,,9586,0,10
lang\java\avro\src\main\java\org\apache\avro\Schema.java,validateName,String,9634,2117,1026985
lang\java\avro\src\main\java\org\apache\avro\file\XZCodec.java,compress,ByteBuffer,5924,1,742
lang\java\avro\src\main\java\org\apache\avro\file\XZCodec.java,writeAndClose,"ByteBuffer, OutputStream",5863,1,742
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,next,Object,4400,19,91972
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,writeBlock,,3865,4,4371
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,runTestsInOrder,,3532,0,9
lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIO.java,performTest,"TestValidatingIO$Encoding, int, String, String, String, String",3074,0,816
lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIO.java,testOnce,"String, String, String, String, TestValidatingIO$Encoding, int",3074,0,8160
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,append,Object,3715,64,129229
lang\java\avro\src\main\java\org\apache\avro\file\XZCodec.java,decompress,ByteBuffer,2959,0,1360
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,appendAllFrom,"DataFileStream, boolean",2820,0,55
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,hasNext,,2668,9,148052
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,writeIfBlockFull,,2684,27,129219
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,read,"Object, Decoder",4593,97,130547
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,read,"Object, Schema, ResolvingDecoder",3440,133,523125
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,readWithoutConversion,"Object, Schema, ResolvingDecoder",3407,153,561167
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,next,,1714,9,58360
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,readRecord,"Object, Schema, ResolvingDecoder",2735,108,110719
lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIO.java,testCompatible,,1562,0,408
lang\java\avro\src\test\java\org\apache\avro\RandomData.java,generate,"Schema, Random, int",1573,168,192840
lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIO.java,testIdentical,,1512,0,408
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,readField,"Object, Schema$Field, Object, ResolvingDecoder, Object",1774,129,374543
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testSyncInHeader,,1289,4,9
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,sync,,1227,1,2670
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,flush,,1169,0,826
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testGenericWrite,,1025,0,9
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testFSync,boolean,994,1,18
lang\java\avro\src\test\java\org\apache\avro\RandomData.java,randomUtf8,"Random, int",979,203,63412
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,fSync,,852,0,360
lang\java\avro\src\main\java\org\apache\avro\Schema.java,parse,"JsonNode, Schema$Names",1515,14,52076
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,make,"Schema, String, Object[], TestValidatingIO$Encoding",718,17,9324
lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIO.java,check,"Schema, Schema, byte[], String, Object[], TestValidatingIO$Encoding, int",708,9,8352
lang\java\avro\src\test\java\org\apache\avro\reflect\TestByteBuffer.java,before,,687,37,1
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,readString,"Object, Schema, Decoder",1138,73,221024
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,getClassAccessorData,Class,659,214,1000265
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testGenericAppend,,519,0,9
lang\java\avro\src\test\java\org\apache\avro\reflect\TestByteBuffer.java,test,,443,0,1
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Symbol.java,root,Symbol[],604,9,28653
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,readString,"Object, Decoder",479,42,208636
lang\java\avro\src\test\java\org\apache\avro\reflect\TestByteBuffer.java,getmd5,ByteBuffer,423,0,2
lang\java\avro\src\test\java\org\apache\avro\io\TestBinaryDecoder.java,validateInputStreamReads,"InputStream, InputStream",414,18,8
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,readString,Utf8,443,82,209343
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,testMain,,391,0,972
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testSyncDiscovery,,375,0,9
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testGenericRead,,366,0,9
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,resolve,"Schema, Schema",893,6,9153
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,write,"Object, Encoder",1817,39,165115
lang\java\avro\src\main\java\org\apache\avro\io\parsing\ResolvingGrammarGenerator.java,generate,"Schema, Schema",723,8,9193
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,write,"Schema, Object, Encoder",1775,65,255074
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Symbol.java,flatten,"Symbol[], int, Symbol[], int, Map, Map",497,48,77965
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,writeWithoutConversion,"Schema, Object, Encoder",1723,92,280389
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,close,,348,0,287
