method,method,invocation counts
com.intellij.rt.execution.application.AppMain.main(String[]),org.apache.ivy.ant.IvyCacheFilesetTest.testEmptyConf(),1
org.apache.ivy.ant.IvyCacheFilesetTest.testEmptyConf(),org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),1
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),org.apache.tools.ant.DirectoryScanner.scan(),73
org.apache.tools.ant.DirectoryScanner.scan(),org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),73
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",17
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)","org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String, File, boolean)",1863
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String, File, boolean)","org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",1863
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)","org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",8686
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",org.apache.tools.ant.DirectoryScanner.isExcluded(String),8742
org.apache.tools.ant.DirectoryScanner.isExcluded(String),"org.apache.tools.ant.DirectoryScanner.matchPath(String, String, boolean)",13079
"org.apache.tools.ant.DirectoryScanner.matchPath(String, String, boolean)","org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)",23965
"org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)",org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),47930
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),java.lang.String.charAt(int),3315984
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),"java.lang.String.substring(int, int)",139795
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),java.lang.String.substring(int),51856
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),java.lang.String.length(),51944
"org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)","org.apache.tools.ant.types.selectors.SelectorUtils.match(String, String, boolean)",13838
"org.apache.tools.ant.types.selectors.SelectorUtils.match(String, String, boolean)",java.lang.String.toCharArray(),27676
"org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)",java.lang.String.startsWith(String),47930
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",java.util.Vector.contains(Object),26226
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",java.util.Vector.addElement(Object),8742
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.isDirectory(),12829
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",org.apache.tools.ant.DirectoryScanner.isIncluded(String),10813
org.apache.tools.ant.DirectoryScanner.isIncluded(String),"org.apache.tools.ant.DirectoryScanner.matchPath(String, String, boolean)",10886
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.isFile(),8806
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.list(),2016
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)","java.io.File.<init>(File, String)",10813
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.exists(),2016
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.lang.StringBuffer.append(String),21898
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",org.apache.tools.ant.DirectoryScanner.hasBeenScanned(String),2016
org.apache.tools.ant.DirectoryScanner.hasBeenScanned(String),java.util.HashSet.add(Object),2016
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.lang.StringBuffer.toString(),10949
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.lang.StringBuffer.<init>(),10949
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String, File, boolean)",org.apache.tools.ant.DirectoryScanner.isExcluded(String),1863
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String, File, boolean)",org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(String),1863
org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(String),"org.apache.tools.ant.DirectoryScanner.matchPatternStart(String, String, boolean)",2007
