class path,method name,method arguments,Time,OwnTime,count
src\java\org\apache\ivy\util\MemoryUtil.java,<init>,,0,0,101
src\java\org\apache\ivy\util\cli\CommandLine.java,getOptionValues,String,0,0,30
src\java\org\apache\ivy\plugins\resolver\util\ResolverHelper.java,listAll,"URLLister, URL",0,0,5
src\java\org\apache\ivy\core\sort\SortEngine.java,<init>,SortEngineSettings,0,0,1226
src\java\org\apache\ivy\ant\IvyCachePath.java,doExecute,,1038,0,12
test\java\org\apache\ivy\ant\IvyArtifactPropertyTest.java,setUp,,2,0,3
src\java\org\apache\ivy\plugins\resolver\IBiblioResolver.java,setPattern,String,0,0,8
src\java\org\apache\ivy\util\url\URLHandlerDispatcher.java,isReachable,URL,6,0,14
src\java\org\apache\ivy\Ivy14.java,download,"Artifact, File, boolean",1,0,1
src\java\org\apache\ivy\core\search\OrganisationEntry.java,<init>,"DependencyResolver, String",0,0,93
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,hasError,,25,1,200
src\java\org\apache\ivy\core\report\ArtifactDownloadReport.java,equals,Object,0,0,8
src\java\org\apache\ivy\core\module\descriptor\ConfigurationGroup.java,<init>,"String, Map",0,0,13
src\java\org\apache\ivy\util\filter\FilterHelper.java,getArtifactTypeFilter,String[],1,0,10
src\java\org\apache\ivy\util\AbstractMessageLogger.java,clearProblems,,2,0,850
src\java\org\apache\ivy\plugins\resolver\DualResolver.java,setDescriptor,String,0,0,1
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testDoubleRetrieveWithDifferentConfigurations,,319,0,1
src\java\org\apache\ivy\ant\IvyTask.java,getIvyInstance,,13232,1,917
src\java\org\apache\ivy\core\resolve\ResolveEngine.java,checkConflictSolvedSelected,"VisitNode, VisitNode",43,2,1283
src\java\org\apache\ivy\plugins\resolver\packager\PackagerCacheEntry.java,build,"Resource, Map",0,0,1
src\java\org\apache\ivy\Ivy14.java,deliver,"ModuleRevisionId, String, File, String, String, Date, PublishingDependencyRevisionResolver, boolean",24,0,1
src\java\org\apache\ivy\plugins\latest\LatestTimeStrategy.java,<init>,,1,0,1840
test\java\org\apache\ivy\ant\IvyInstallTest.java,testIVY843,,365,0,1
src\java\org\apache\ivy\plugins\version\SubVersionMatcher.java,<init>,,0,0,216
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,convertM2OrganizationForResourceSearch,String,0,0,8
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getDependencyArtifacts,String,3,2,1313
src\java\org\apache\ivy\util\url\ApacheURLLister.java,listDirectories,URL,1,0,7
src\java\org\apache\ivy\plugins\resolver\packager\PackagerResolver.java,setDescriptor,String,0,0,3
src\java\org\apache\ivy\core\resolve\VisitNode.java,computeRoot,,0,0,616
test\java\org\apache\ivy\ant\IvyResolveTest.java,testDontCheckIfChanged,,496,0,1
test\java\org\apache\ivy\ant\IvyConvertPomTest.java,<init>,,0,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultModuleDescriptor.java,addInheritedDescriptor,ExtendsDescriptor,0,0,6
src\java\org\apache\ivy\Ivy.java,resolve,"URL, ResolveOptions",75542,0,156
test\java\org\apache\ivy\ant\IvyInfoRepositoryTest.java,setUp,,2,0,3
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,<init>,"DefaultDependencyDescriptor, ModuleRevisionId",0,0,11
src\java\org\apache\ivy\plugins\version\AbstractVersionMatcher.java,accept,"ModuleRevisionId, ModuleDescriptor",0,0,440
src\java\org\apache\ivy\core\module\descriptor\Configuration.java,<init>,"Map, Map, String, Configuration$Visibility, String, String[], boolean, String, ModuleRevisionId",13,1,2018
src\java\org\apache\ivy\plugins\circular\AbstractLogCircularDependencyStrategy.java,getCircularDependencyId,ModuleRevisionId[],0,0,7
src\java\org\apache\ivy\core\check\CheckEngine.java,<init>,"CheckEngineSettings, ResolveEngine",0,0,3
