method,pattern,space
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)",HotCallee,"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)"
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),HotCallee,org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File)
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",HotCallee,"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.repository.file.FileRepository.get(String, File); org.apache.ivy.plugins.repository.url.URLRepository.get(String, File)"
"org.apache.ivy.osgi.obr.xml.CapabilityAdapter.getExportPackage(BundleInfo, Capability)",FreqExec,"org.apache.ivy.osgi.obr.xml.CapabilityAdapter.getExportPackage(BundleInfo, Capability); org.apache.ivy.osgi.obr.xml.CapabilityAdapter.adapt(BundleInfo, Capability)"
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),HotExec,org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer); org.apache.ivy.core.settings.IvySettings.IvySettings()
"org.apache.ivy.osgi.obr.xml.CapabilityAdapter.adapt(BundleInfo, Capability)",FreqExec,"org.apache.ivy.osgi.obr.xml.CapabilityAdapter.adapt(BundleInfo, Capability); org.apache.ivy.osgi.obr.xml.OBRXMLParser$ResourceHandler$5.childHanlded(DelegetingHandler)"
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",FreqExec,"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes); org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations)"
"org.apache.ivy.osgi.obr.xml.Requirement.Requirement(String, RequirementFilter)",FreqExec,"org.apache.ivy.osgi.obr.xml.Requirement.Requirement(String, RequirementFilter); org.apache.ivy.osgi.obr.xml.OBRXMLParser$RequireHandler.handleAttributes(Attributes)"
"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean)",FreqExec,"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean); org.apache.ivy.core.settings.IvySettings.typeDefs(Properties, boolean)"
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter)",HotCallee,"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.saveResolvers(ModuleDescriptor, String, String)"
