method,Time,OwnTime,count
org.apache.xmpbox.schema.PhotoshopSchema_ESTest.test120(),2,0,1
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_ESTest.test36(),0,0,1
org.apache.xmpbox.schema.AdobePDFSchema.setPDFVersionProperty(TextType),0,0,2
org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage.getMask(),0,0,22
java.net.HttpURLConnection.<clinit>(),0,0,1
org.apache.pdfbox.util.operator.pagedrawer.Invoke_ESTest.<init>(),0,0,2
"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float)",7,0,7
org.apache.pdfbox.pdmodel.common.PDStream.getFile(),0,0,2
org.apache.pdfbox.util.operator.SetStrokingSeparation_ESTest.test0(),0,0,1
org.apache.jempbox.xmp.ResourceRef_ESTest.test13(),0,0,1
org.apache.pdfbox.util.DateConverter_ESTest.test45(),0,0,1
org.apache.pdfbox.pdmodel.encryption.SecurityHandlersManager.getInstance(),14,0,4
"org.apache.pdfbox.preflight.font.DescendantFontValidator.<init>(PreflightContext, PDFont, FontContainer)",0,0,8
org.apache.pdfbox.pdmodel.graphics.color.ColorSpaceLab_ESTest.test15(),0,0,1
org.apache.jempbox.xmp.XMPSchemaIptc4xmpCore_ESTest.test05(),2,0,1
org.apache.pdfbox.pdmodel.graphics.color.ColorSpaceCalRGB_ESTest.test04(),0,0,1
"org.apache.pdfbox.preflight.exception.PdfParseException.<init>(String, String)",1,0,37
org.apache.pdfbox.pdmodel.interactive.form.PDField.getFullyQualifiedName(),0,0,3
org.apache.pdfbox.pdfparser.PDFStreamParser_ESTest.test36(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.markedcontent.PDMarkedContent_ESTest.test08(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDTableAttributeObject_ESTest.test15(),0,0,1
org.apache.pdfbox.pdfwriter.COSWriter_ESTest.test25(),1,0,1
org.apache.pdfbox.pdmodel.font.PDFontDescriptor_ESTest.test112(),0,0,1
org.apache.pdfbox.pdmodel.font.PDFontDescriptor_ESTest.test104(),0,0,1
org.apache.xmpbox.type.Attribute_ESTest.test12(),0,0,1
org.apache.jempbox.xmp.ResourceRef_ESTest.test03(),0,0,1
org.apache.lucene.index.IndexWriter.releaseRead(),0,0,2
org.apache.pdfbox.pdmodel.common.filespecification.PDFileSpecification_ESTest.test6(),0,0,1
org.apache.pdfbox.util.operator.CloseAndStrokePath.<init>(),0,0,9
javax.crypto.Cipher.<clinit>(),0,0,1
org.apache.pdfbox.pdmodel.fdf.FDFOptionElement.<init>(),0,0,8
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup_ESTest.test31(),0,0,1
org.apache.pdfbox.preflight.content.ContentStreamWrapper.validPageContentStream(),0,0,1
org.apache.pdfbox.pdmodel.graphics.predictor.None_ESTest.test12(),0,0,1
org.apache.pdfbox.io.PushBackInputStream.read(),4,0,2604
org.apache.xmpbox.schema.DublinCoreSchema_ESTest.test099(),2,0,1
org.apache.pdfbox.pdmodel.common.PDStream.getLength(),0,0,1
org.apache.pdfbox.preflight.process.reflect.TilingPatternValidationProcess_ESTest.test08(),0,0,1
org.apache.pdfbox.util.Splitter_ESTest.test01(),0,0,1
org.apache.pdfbox.pdfwriter.ContentStreamWriter.writeTokens(List),0,0,3
org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test34(),0,0,1
java.util.HashSet.remove(Object),2,2,1279
org.apache.pdfbox.pdmodel.graphics.color.PDLab_ESTest.test22(),0,0,1
org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead_ESTest.test03(),0,0,1
"org.apache.pdfbox.ImportFDF.importFDF(PDDocument, FDFDocument)",0,0,1
org.apache.pdfbox.util.operator.SetWordSpacing.<init>(),0,0,32
org.apache.pdfbox.pdmodel.PDDocument_ESTest.test24(),0,0,1
org.apache.pdfbox.preflight.font.Type0FontValidator_ESTest.test12(),0,0,1
org.apache.pdfbox.preflight.font.container.Type0Container.<init>(PDFont),0,0,39
org.apache.tools.ant.Task.log(String),0,0,3
org.apache.pdfbox.pdfparser.ConformingPDFParser_ESTest.test14(),1,0,1
org.apache.pdfbox.util.TextPosition_ESTest.test37(),2,0,1
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSigProperties_ESTest.test45(),0,0,1
java.util.ArrayList.<init>(int),27,27,39322
org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler_ESTest.test41(),1,0,1
org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test02(),0,0,1
org.apache.xmpbox.type.ResourceEventType_ESTest.test24(),1,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject_ESTest.test034(),0,0,1
org.apache.pdfbox.examples.pdmodel.HelloWorldType1AfmPfb.main(String[]),2,0,4
"org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.decode(byte[], byte[])",1,0,32
org.apache.xmpbox.schema.XMPMediaManagementSchema_ESTest.test065(),1,0,1
org.apache.pdfbox.pdmodel.common.function.PDFunction_ESTest.test01(),0,0,1
org.apache.pdfbox.pdmodel.encryption.PDEncryptionDictionary_ESTest.test26(),0,0,1
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine.setStartPointEndingStyle(String),0,0,5
java.util.Arrays.toString(float[]),0,0,5
org.apache.pdfbox.io.NBitOutputStream_ESTest.<init>(),0,0,8
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject_ESTest.test098(),0,0,1
org.apache.pdfbox.pdmodel.encryption.SecurityHandler_ESTest.test10(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.setWidth(float),0,0,2
org.apache.pdfbox.pdmodel.common.COSDictionaryMap_ESTest.<init>(),0,0,42
org.apache.xmpbox.type.ArrayProperty.getElementsAsString(),0,0,9
org.apache.pdfbox.pdmodel.fdf.FDFDictionary.writeXML(Writer),0,0,10
org.apache.pdfbox.ExtractText.startProcessing(String),0,0,5
org.apache.pdfbox.ant.PDFToTextTask.<init>(),12,0,5
org.apache.pdfbox.pdmodel.interactive.action.type.PDActionRemoteGoTo_ESTest.test12(),0,0,1
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),0,0,42
org.apache.pdfbox.pdmodel.PDPage.setRotation(int),0,0,13
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement_ESTest.test85(),0,0,1
org.apache.pdfbox.preflight.font.descriptor.Type1DescriptorHelper.checkMandatoryFields(COSDictionary),0,0,1
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem_ESTest.test12(),0,0,1
org.apache.pdfbox.io.ASCII85InputStream_ESTest.test03(),0,0,1
org.apache.pdfbox.preflight.PreflightConfiguration_ESTest.test08(),0,0,1
org.apache.xmpbox.type.TypeMapping.initialize(),1906,30,1181
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext_ESTest.notGeneratedAnyTest(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDVariableText_ESTest.test13(),0,0,1
