class path,method name,method arguments,LOC,Cyclomatic,Time,OwnTime,Count,Layer,Callees,CalleeInvocations,Callers,CallerInvocations
preflight\src\main\java\org\apache\pdfbox\preflight\utils\RenderingIntents.java,contains,Object,4,1,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\documentnavigation\outline\PDDocumentOutline.java,<init>,,5,1,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\documentnavigation\outline\PDDocumentOutline.java,<init>,COSDictionary,4,1,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,<init>,,3,1,7,3,5193,1,3,10388,40,5193
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,<init>,COSDictionary,4,1,7,0,398,2,3,1194,2,398
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,containsValue,Object,9,2,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getKeyForValue,Object,15,3,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,size,,4,1,0,0,3,4,0,0,2,3
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,clear,,4,1,1,0,2200,1,1,2200,3,2200
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,String,4,1,0,0,87,3,2,174,3,87
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,"String, String",9,2,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,"COSName, COSName",9,2,3,0,1255,1,1,1405,8,1255
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,String[],9,2,,,,,,,,
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,COSName,13,3,5,2,4185,0,2,4187,99,4185
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setItem,"COSName, COSBase",11,2,60,6,23425,0,2,23425,72,23425
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setItem,"COSName, COSObjectable",9,2,0,0,109,1,8,144,11,109
