method,method,invocation counts
java.lang.Thread.run(),org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),org.apache.pdfbox.debugger.colorpane.CSArrayBased.<init>(COSArray),2
org.apache.pdfbox.debugger.colorpane.CSArrayBased.<init>(COSArray),org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),java.awt.Component.<clinit>(),2
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),javax.swing.JPanel.<init>(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),java.awt.Container.add(Component),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),java.awt.Container.<clinit>(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),javax.swing.JLabel.<init>(String),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),java.lang.ClassLoader.loadClass(String),3
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),javax.swing.JComponent.<clinit>(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),javax.swing.JComponent.setFont(Font),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",3
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),javax.swing.JComponent.setPreferredSize(Dimension),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),"javax.swing.BoxLayout.<init>(Container, int)",1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),java.awt.Container.setLayout(LayoutManager),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),"java.awt.Dimension.<init>(int, int)",1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),"java.awt.Font.<init>(String, int, int)",1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.<init>(COSArray),java.lang.ClassLoader.loadClass(String),16
org.apache.pdfbox.debugger.colorpane.CSArrayBased.<init>(COSArray),org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase),1
org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase),"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources)",16
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources)","org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",20
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",java.lang.ClassLoader.loadClass(String),1
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",java.io.IOException.<init>(String),11
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",java.lang.StringBuilder.append(Object),11
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",java.lang.StringBuilder.append(String),17
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)","java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",1
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",java.lang.StringBuilder.toString(),14
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",java.lang.StringBuilder.<init>(),14
org.apache.pdfbox.debugger.colorpane.CSArrayBased.<init>(COSArray),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",5
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.ClassLoader.loadClass(String),6
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.Class.getDeclaredFields(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",14
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.StringBuilder.append(String),25
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.StringBuilder.append(int),10
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.StringBuilder.append(char),18
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.StringBuilder.toString(),6
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.Class.getName(),9
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.String.equals(Object),38
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),org.junit.Assert.assertFalse(boolean),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.StringBuilder.<init>(),6
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),"java.lang.String.replace(char, char)",4
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.String.isEmpty(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased_ESTest.test0(),java.lang.String.startsWith(String),1
java.lang.Thread.run(),org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),1
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),org.apache.pdfbox.debugger.ui.FileOpenSaveDialog.<clinit>(),2
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog.<clinit>(),org.apache.pdfbox.debugger.ui.FileOpenSaveDialog$1.<init>(),2
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog$1.<init>(),javax.swing.JFileChooser.<init>(),2
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),org.apache.pdfbox.debugger.ui.FileOpenSaveDialog.openFile(),1
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog.openFile(),javax.swing.JFileChooser.showOpenDialog(Component),1
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),java.lang.ClassLoader.loadClass(String),4
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),"org.apache.pdfbox.debugger.ui.FileOpenSaveDialog.<init>(Component, FileFilter)",1
"org.apache.pdfbox.debugger.ui.FileOpenSaveDialog.<init>(Component, FileFilter)",javax.swing.JFileChooser.setFileFilter(FileFilter),1
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),java.lang.StringBuilder.<init>(),1
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),org.junit.Assert.fail(String),1
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",2
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),java.lang.StringBuilder.append(String),3
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),java.lang.StringBuilder.toString(),1
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),java.lang.Class.getName(),5
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),java.lang.String.equals(Object),2
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog_ESTest.test1(),java.lang.String.startsWith(String),1
java.lang.Thread.run(),org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView_ESTest.test0(),1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView_ESTest.test0(),"org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.<init>(String, String, Object[][], String[])",1
"org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.<init>(String, String, Object[][], String[])",org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),"javax.swing.JTable.<init>(Object[][], Object[])",2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.JScrollPane.<init>(Component),1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),java.lang.ClassLoader.loadClass(String),2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.JLabel.<init>(String),4
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),java.awt.GridBagLayout.<init>(),2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),"java.awt.Container.add(Component, Object)",2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.JPanel.<init>(),2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.JTable.setFillsViewportHeight(boolean),1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),java.awt.Container.add(Component),4
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.Box.createVerticalBox(),1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.JComponent.setFont(Font),4
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.JTable.<clinit>(),1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),javax.swing.JComponent.setPreferredSize(Dimension),2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),java.awt.Container.setLayout(LayoutManager),2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),java.awt.GridBagConstraints.<init>(),1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),"java.awt.Dimension.<init>(int, int)",2
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),"java.awt.Font.<init>(String, int, int)",4
