class path,method name,method arguments,Time,OwnTime,count
pdfbox\src\main\java\org\apache\pdfbox\filter\FilterFactory.java,<init>,,76,0,6
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\PDRange.java,<init>,"COSArray, int",0,0,53
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\font\PDCIDFontType2.java,generateBoundingBox,,0,0,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\encryption\AccessPermission.java,canExtractForAccessibility,,0,0,20
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\PDPageLabelRange.java,getStyle,,21,4,13867
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\action\PDAnnotationAdditionalActions.java,getPI,,0,0,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDPageContentStream.java,showText,String,45,0,104
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\action\PDAction.java,getType,,0,0,5
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\action\PDActionLaunch.java,setD,String,0,0,3
preflight\src\main\java\org\apache\pdfbox\preflight\utils\COSUtils.java,getAsArray,"COSBase, COSDocument",0,0,6
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\encryption\PublicKeyRecipient.java,<init>,,0,0,9
debugger\src\main\java\org\apache\pdfbox\debugger\ui\OSXAdapter.java,invoke,"Object, Method, Object[]",0,0,1
xmpbox\src\main\java\org\apache\xmpbox\schema\XMPSchema.java,getAboutAttribute,,0,0,10
debugger\src\main\java\org\apache\pdfbox\debugger\treestatus\TreeStatus.java,parsePathString,String,0,0,12
preflight\src\main\java\org\apache\pdfbox\preflight\font\CIDType2FontValidator.java,<init>,"PreflightContext, PDCIDFontType2",0,0,3
fontbox\src\main\java\org\apache\fontbox\cff\CFFCharset.java,getGIDForCID,int,0,0,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDTextField.java,isFileSelect,,0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\shading\AxialShadingContext.java,<init>,"PDShadingType2, ColorModel, AffineTransform, Matrix, Rectangle",0,0,5
pdfbox\src\main\java\org\apache\pdfbox\text\PDFTextStripper.java,writePage,,0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDColor.java,getComponents,,0,0,155
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\action\PDActionThread.java,getB,,0,0,5
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\action\PDWindowsLaunchParams.java,getDirectory,,0,0,4
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\documentinterchange\logicalstructure\PDUserProperty.java,getName,,0,0,12
