method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.avro.io.BinaryEncoder.BinaryEncoder(OutputStream),6,2,21,5,0
org.apache.avro.io.BinaryEncoder.init(OutputStream),4,1,3,2,0
org.apache.avro.io.BinaryEncoder.flush(),5,2,3,1,0
org.apache.avro.io.BinaryEncoder.writeNull(),1,1,0,0,0
org.apache.avro.io.BinaryEncoder.writeBoolean(boolean),3,2,2,1,0
org.apache.avro.io.BinaryEncoder.writeInt(int),3,1,2,1,0
org.apache.avro.io.BinaryEncoder.writeLong(long),3,1,3,1,0
org.apache.avro.io.BinaryEncoder.writeFloat(float),3,1,2,1,0
org.apache.avro.io.BinaryEncoder.writeDouble(double),3,1,2,1,0
org.apache.avro.io.BinaryEncoder.writeString(Utf8),4,1,2,4,0
org.apache.avro.io.BinaryEncoder.writeBytes(ByteBuffer),3,1,2,1,0
"org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int)",4,1,4,2,0
"org.apache.avro.io.BinaryEncoder.writeFixed(byte[], int, int)",3,1,4,1,0
org.apache.avro.io.BinaryEncoder.writeEnum(int),3,1,2,1,0
org.apache.avro.io.BinaryEncoder.writeArrayStart(),2,1,0,0,0
org.apache.avro.io.BinaryEncoder.setItemCount(long),5,2,1,1,0
org.apache.avro.io.BinaryEncoder.startItem(),2,1,0,0,0
org.apache.avro.io.BinaryEncoder.writeArrayEnd(),3,1,1,1,0
org.apache.avro.io.BinaryEncoder.writeMapStart(),2,1,0,0,0
org.apache.avro.io.BinaryEncoder.writeMapEnd(),3,1,1,1,0
org.apache.avro.io.BinaryEncoder.writeIndex(int),3,1,2,1,0
"org.apache.avro.io.BinaryEncoder.encodeLong(long, OutputStream)",8,2,14,1,1
"org.apache.avro.io.BinaryEncoder.encodeLong(long, byte[], int)",9,2,6,2,1
"org.apache.avro.io.BinaryEncoder.encodeFloat(float, OutputStream)",7,1,3,2,0
"org.apache.avro.io.BinaryEncoder.encodeFloat(float, byte[], int)",8,1,3,3,0
"org.apache.avro.io.BinaryEncoder.encodeDouble(double, OutputStream)",11,1,3,2,0
"org.apache.avro.io.BinaryEncoder.encodeDouble(double, byte[], int)",12,1,3,3,0
org.apache.avro.ipc.ByteBufferOutputStream.ByteBufferOutputStream(),3,1,2,2,0
org.apache.avro.ipc.ByteBufferOutputStream.getBufferList(),6,2,3,3,1
org.apache.avro.ipc.ByteBufferOutputStream.reset(),4,1,4,4,0
org.apache.avro.ipc.ByteBufferOutputStream.write(ByteBuffer),3,1,2,1,0
org.apache.avro.ipc.ByteBufferOutputStream.write(int),8,2,3,6,0
"org.apache.avro.ipc.ByteBufferOutputStream.write(byte[], int, int)",13,2,6,6,1
org.apache.avro.ipc.ByteBufferOutputStream.writeBuffer(ByteBuffer),8,2,4,7,0
org.apache.avro.util.Utf8.Utf8(),1,1,2,1,0
org.apache.avro.util.Utf8.Utf8(String),8,2,33,5,0
org.apache.avro.util.Utf8.Utf8(byte[]),4,1,3,3,0
org.apache.avro.util.Utf8.getBytes(),1,1,6,1,0
org.apache.avro.util.Utf8.getLength(),1,1,5,1,0
org.apache.avro.util.Utf8.setLength(int),9,2,5,4,0
org.apache.avro.util.Utf8.toString(),7,2,7,3,0
org.apache.avro.util.Utf8.equals(Object),11,6,3,1,1
org.apache.avro.util.Utf8.hashCode(),6,2,2,1,1
org.apache.avro.util.Utf8.compareTo(Utf8),4,1,3,2,0
org.apache.avro.io.Encoder.init(OutputStream),1,1,2,0,0
org.apache.avro.io.Encoder.writeNull(),1,1,4,0,0
org.apache.avro.io.Encoder.writeBoolean(boolean),1,1,6,0,0
org.apache.avro.io.Encoder.writeInt(int),1,1,6,0,0
org.apache.avro.io.Encoder.writeLong(long),1,1,9,0,0
org.apache.avro.io.Encoder.writeFloat(float),1,1,5,0,0
org.apache.avro.io.Encoder.writeDouble(double),1,1,6,0,0
org.apache.avro.io.Encoder.writeString(Utf8),1,1,5,0,0
org.apache.avro.io.Encoder.writeString(String),3,1,4,2,0
org.apache.avro.io.Encoder.writeBytes(ByteBuffer),1,1,2,0,0
"org.apache.avro.io.Encoder.writeBytes(byte[], int, int)",1,1,2,0,0
org.apache.avro.io.Encoder.writeBytes(byte[]),3,1,6,1,0
"org.apache.avro.io.Encoder.writeFixed(byte[], int, int)",1,1,5,0,0
org.apache.avro.io.Encoder.writeFixed(byte[]),3,1,6,1,0
org.apache.avro.io.Encoder.writeEnum(int),1,1,5,0,0
org.apache.avro.io.Encoder.writeArrayStart(),1,1,11,0,0
org.apache.avro.io.Encoder.setItemCount(long),1,1,13,0,0
org.apache.avro.io.Encoder.startItem(),1,1,7,0,0
org.apache.avro.io.Encoder.writeArrayEnd(),1,1,11,0,0
org.apache.avro.io.Encoder.writeMapStart(),1,1,6,0,0
org.apache.avro.io.Encoder.writeMapEnd(),1,1,6,0,0
org.apache.avro.io.Encoder.writeIndex(int),1,1,4,0,0
org.apache.avro.generic.TestGenericDatumWriter.testWrite(),17,1,0,13,0
org.apache.avro.Schema.Schema(Type),1,1,13,2,0
org.apache.avro.Schema.create(Type),13,9,32,10,0
org.apache.avro.Schema.getProp(String),3,1,9,2,0
"org.apache.avro.Schema.addProp(String, String)",17,5,10,5,0
org.apache.avro.Schema.createRecord(List<Field>),5,1,5,3,0
"org.apache.avro.Schema.createRecord(String, String, String, boolean)",4,1,7,3,0
"org.apache.avro.Schema.createEnum(String, String, String, List<String>)",5,1,6,4,0
org.apache.avro.Schema.createArray(Schema),3,1,5,2,0
org.apache.avro.Schema.createMap(Schema),3,1,5,2,0
org.apache.avro.Schema.createUnion(List<Schema>),3,1,11,3,0
"org.apache.avro.Schema.createFixed(String, String, String, int)",4,1,7,3,0
org.apache.avro.Schema.getType(),1,1,36,1,0
org.apache.avro.Schema.getField(String),3,1,6,2,0
org.apache.avro.Schema.getFields(),3,1,20,2,0
org.apache.avro.Schema.setFields(List<Field>),3,1,3,1,0
org.apache.avro.Schema.getEnumSymbols(),3,1,8,2,0
org.apache.avro.Schema.getEnumOrdinal(String),3,1,3,2,0
org.apache.avro.Schema.hasEnumSymbol(String),3,1,0,2,0
org.apache.avro.Schema.getName(),1,1,12,1,0
org.apache.avro.Schema.getDoc(),3,1,2,1,0
org.apache.avro.Schema.getNamespace(),3,1,2,2,0
org.apache.avro.Schema.getFullName(),3,1,6,2,0
org.apache.avro.Schema.isError(),3,1,2,2,0
org.apache.avro.Schema.getElementType(),3,1,17,2,0
org.apache.avro.Schema.getValueType(),3,1,11,2,0
org.apache.avro.Schema.getTypes(),3,1,20,2,0
org.apache.avro.Schema.getFixedSize(),3,1,13,2,0
org.apache.avro.Schema.toString(),1,1,9,2,0
org.apache.avro.Schema.toString(boolean),12,3,6,9,0
"org.apache.avro.Schema.toJson(Names, JsonGenerator)",10,2,9,7,0
org.apache.avro.Schema.writeProps(JsonGenerator),4,2,8,4,1
"org.apache.avro.Schema.fieldsToJson(Names, JsonGenerator)",3,1,1,1,0
org.apache.avro.Schema.equals(Object),7,4,14,2,0
org.apache.avro.Schema.hashCode(),1,1,8,4,0
org.apache.avro.Schema.parse(File),8,2,8,5,0
org.apache.avro.Schema.parse(InputStream),8,2,5,5,0
org.apache.avro.Schema.parse(String),3,1,51,4,0
"org.apache.avro.Schema.parse(JsonNode, Names)",96,30,11,40,4
"org.apache.avro.Schema.getRequiredText(JsonNode, String, String)",8,2,4,3,0
"org.apache.avro.Schema.getOptionalText(JsonNode, String)",4,2,4,3,0
org.apache.avro.Schema.parseJson(String),9,3,6,5,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, InputStream)",4,1,3,3,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, String)",4,1,3,3,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, InputStream)",3,1,9,3,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, String)",3,1,3,3,0
org.apache.avro.io.JsonDecoder.advance(Symbol),6,2,24,5,0
org.apache.avro.io.JsonDecoder.init(InputStream),5,1,5,4,0
org.apache.avro.io.JsonDecoder.init(String),5,1,4,4,0
org.apache.avro.io.JsonDecoder.readNull(),8,2,3,4,0
org.apache.avro.io.JsonDecoder.readBoolean(),10,2,4,5,0
org.apache.avro.io.JsonDecoder.readInt(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readLong(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readFloat(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readDouble(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readString(Utf8),16,4,6,9,0
org.apache.avro.io.JsonDecoder.skipString(),14,4,6,6,0
org.apache.avro.io.JsonDecoder.readBytes(ByteBuffer),10,2,3,7,0
org.apache.avro.io.JsonDecoder.readByteArray(),4,1,5,3,0
org.apache.avro.io.JsonDecoder.skipBytes(),8,2,3,4,0
org.apache.avro.io.JsonDecoder.checkFixed(int),9,2,6,3,0
"org.apache.avro.io.JsonDecoder.readFixed(byte[], int, int)",14,3,6,7,0
org.apache.avro.io.JsonDecoder.skipFixed(int),4,1,1,2,0
org.apache.avro.io.JsonDecoder.doSkipFixed(int),12,3,6,5,0
org.apache.avro.io.JsonDecoder.skipFixed(),5,1,3,3,0
org.apache.avro.io.JsonDecoder.readEnum(),15,3,4,9,0
org.apache.avro.io.JsonDecoder.readArrayStart(),9,2,3,6,0
