method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.avro.Protocol.getNamespace(),0,86,6,30,0,0
org.apache.avro.ipc.ResponderServlet.ResponderServlet(Responder),0,6,2,3,0,0
"org.apache.avro.generic.GenericData.deepCopy(Schema, Object)",3,209,12,38,2,16
"org.apache.avro.io.EncoderFactory.jsonEncoder(Schema, OutputStream)",11,18,0,0,8,4
org.apache.avro.io.ParsingDecoder.skipAction(),11,2,0,0,1,1
"org.apache.avro.ipc.specific.SpecificRequestor.readError(Schema, Schema, Decoder)",11,7,0,0,4,2
org.apache.avro.Schema.hasEnumSymbol(String),11,2,0,0,1,1
org.apache.avro.io.BlockingBinaryEncoder.writeZero(),11,11,0,0,4,5
"org.apache.avro.mapred.AvroAsTextRecordReader.next(Text, Text)",11,3,0,0,1,2
org.apache.avro.io.Perf.GenericNested.GenericNested(),-1,1,0,0,0,0
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map)",3,78,7,20,3,13
"org.apache.avro.ipc.NettyTransportCodec.NettyDataPack.NettyDataPack(int, List)",0,7,4,3,0,0
org.apache.avro.io.parsing.Parser.popSymbol(),0,61,7,21,0,0
"org.apache.avro.compiler.specific.SpecificCompiler.makePath(String, String)",5,80,7,28,0,0
org.apache.avro.thrift.test.Error.unsetMessage(),11,3,2,1,0,0
org.apache.avro.ipc.LocalTransceiver.transceive(List),11,265,0,0,15,69
org.apache.avro.ipc.trace.TracePlugin.serverReceiveRequest(RPCContext),11,6,0,0,1,5
org.apache.avro.compiler.specific.SpecificCompiler.setStringType(StringType),0,96,9,23,0,0
org.apache.avro.ipc.stats.IntegerHistogram.IntegerHistogram(Segmenter),1,4,1,1,2,1
"org.apache.avro.thrift.test.Error.setFieldValue(_Fields, Object)",11,3,0,0,1,2
"org.apache.avro.ipc.NettyTransceiver.disconnect(boolean, boolean)",1,4,1,2,1,1
org.apache.avro.ipc.trace.TracePlugin.clientReceiveResponse(RPCContext),11,5,0,0,1,4
org.apache.avro.Schema.Schema(Type),0,19,3,12,0,0
"org.apache.avro.Schema.RecordSchema.RecordSchema(Name, String, boolean)",3,47,4,23,3,2
"org.apache.avro.ipc.generic.GenericResponder.writeError(Schema, Object, Encoder)",11,9,0,0,4,3
org.apache.avro.Protocol.Message.toString(),11,5,0,0,3,2
org.apache.avro.ipc.RPCContext.setRequestPayload(List),8,121,10,31,0,0
"org.apache.avro.thrift.test.Foo.add_args.add_args(int, int)",11,4,0,0,1,3
"org.apache.avro.generic.GenericData.Array.add(int, T)",-1,1,0,0,0,0
"org.apache.avro.io.DatumReader.read(D, Decoder)",0,122,9,34,0,0
"org.apache.avro.thrift.ThriftData.setField(Object, String, int, Object)",-1,1,0,0,0,0
"org.apache.avro.mapred.tether.TetherTask.Collector.collect(T, int)",11,69,0,0,6,30
org.apache.avro.RandomData.iterator.(Anon_1).next(),11,20,0,0,4,12
org.apache.avro.io.Decoder.readFloat(),0,45,4,31,0,0
"org.apache.avro.ipc.trace.TraceCollection.TraceTiming.TraceTiming(Long, Long, Long)",11,6,3,3,0,0
org.apache.avro.ipc.stats.StatsPlugin.getPayloadSize(List),1,21,5,8,0,0
"org.apache.avro.ipc.specific.SpecificRequestor.getClient(Class, Transceiver, SpecificData)",11,30,2,1,9,10
org.apache.avro.generic.GenericData.Array.getSchema(),11,35,7,13,0,0
"org.apache.avro.Schema.parse(String, boolean)",4,45,6,13,1,2
org.apache.avro.Schema.LockableArrayList.LockableArrayList(List),2,16,4,8,0,0
"org.apache.avro.mapred.tether.TetherJob.setExecutable(JobConf, File)",11,6,4,1,1,1
org.apache.avro.Schema.Field.addAlias(String),-1,1,0,0,0,0
"org.apache.avro.ipc.HttpServer.HttpServer(Responder, String, int)",11,3,0,0,1,2
org.apache.avro.mapred.Pair.Pair(Schema),3,14,2,8,3,1
org.apache.avro.RandomData.main(String[]),11,33,0,0,5,11
org.apache.avro.generic.GenericData.Fixed.toString(),-1,1,0,0,0,0
org.apache.avro.file.DataFileStream.getBlockCount(),11,40,7,10,0,0
org.apache.avro.ipc.stats.Stopwatch.Stopwatch(Ticks),1,12,5,5,0,0
"org.apache.avro.io.JsonEncoder.writeFixed(byte[], int, int)",11,9,0,0,3,4
org.apache.avro.file.SnappyCodec.equals(Object),-1,1,0,0,0,0
org.apache.avro.generic.GenericRecordBuilder.has(Field),11,6,3,1,1,2
org.apache.avro.io.BinaryDecoder.doSkipBytes(long),0,14,5,4,1,1
org.apache.avro.generic.GenericRecordBuilder.has(String),11,6,0,0,2,3
org.apache.avro.ipc.Transceiver.getRemoteName(),7,255,15,51,0,0
"org.apache.avro.mapred.AvroJob.setOutputMeta(JobConf, String, long)",11,4,2,2,0,0
org.apache.avro.mapred.AvroWrapper.equals(Object),-1,1,0,0,0,0
org.apache.avro.io.BinaryDecoder.ensureBounds(int),1,10,2,4,2,3
"org.apache.avro.mojo.AbstractAvroMojo.getIncludedFiles(String, String[], String[])",11,6,3,3,0,0
org.apache.avro.thrift.test.Foo.add_args.setNum1(int),1,12,3,5,1,1
org.apache.avro.mapred.tether.TetherTaskRunner.TetherTaskRunner(TetherTask),11,28,3,1,7,9
org.apache.avro.mapred.HadoopReducer.getReducer(JobConf),-1,1,0,0,0,0
org.apache.avro.io.ValidatingDecoder.readDouble(),11,8,0,0,3,3
"org.apache.avro.mapred.AvroOutputFormat.configureDataFileWriter(DataFileWriter, JobConf)",3,31,5,10,2,5
org.apache.avro.file.DeflateCodec.getName(),11,2,1,1,0,0
org.apache.avro.io.DirectBinaryEncoder.writeBoolean(boolean),-1,1,0,0,0,0
org.apache.avro.io.Perf.GenericResolving.newReader(),11,5,0,0,2,2
org.apache.avro.thrift.test.Foo.ping_args.equals(Object),11,2,0,0,1,1
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(),1,176,7,46,1,2
"org.apache.avro.compiler.specific.SpecificCompiler.compileProtocol(File[], File)",8,94,3,2,8,23
org.apache.avro.ipc.Requestor.Request.Request(Request),11,286,15,68,0,0
org.apache.avro.Protocol.Message.hashCode(),11,5,1,1,3,1
org.apache.avro.ipc.trace.TraceCollection.getTimingAverage(Collection),11,4,2,1,1,1
org.apache.avro.specific.SpecificData.isEnum(Object),11,2,0,0,1,1
org.apache.avro.thrift.test.Foo.Client.Client(org.apache.thrift.protocol.TProtocol),0,9,3,3,0,0
org.apache.avro.Schema.RecordSchema.getField(String),11,2,0,0,1,1
"org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema, Map)",11,24,0,0,4,11
org.apache.avro.mapred.SequenceFileReader.(Anon_9).convert(Writable),-1,1,0,0,0,0
org.apache.avro.ipc.Callback.handleResult(T),0,295,15,68,0,0
"org.apache.avro.thrift.ThriftData.getRecordState(Object, Schema)",11,5,0,0,2,3
org.apache.avro.mapred.AvroRecordReader.getProgress(),11,3,0,0,2,1
"org.apache.avro.mapred.AvroJob.setInputSchema(JobConf, Schema)",11,9,0,0,4,2
org.apache.avro.mapred.tether.TetherKeyComparator.setConf(Configuration),11,2,0,0,1,1
org.apache.avro.io.EncoderFactory.get(),0,367,12,71,0,0
org.apache.avro.generic.GenericRecordBuilder.build(),11,199,0,0,13,41
org.apache.avro.io.LegacyBinaryEncoder.writeArrayEnd(),11,2,0,0,1,1
org.apache.avro.util.ByteBufferOutputStream.append(List),0,279,14,68,0,0
org.apache.avro.file.DataFileReader12.seek(long),2,44,5,18,2,2
org.apache.avro.ipc.stats.Histogram.TreeMapSegmenter.getBuckets.(Anon_1).next(),11,2,0,0,1,1
org.apache.avro.ipc.Requestor.Response.Response(Request),11,2,0,0,1,1
org.apache.avro.io.BlockingBinaryEncoder.BlockedValue.BlockedValue(),0,2,1,1,0,0
org.apache.avro.protobuf.ProtobufDatumReader.ProtobufDatumReader(Schema),11,58,8,17,2,2
"org.apache.avro.ipc.specific.SpecificRequestor.SpecificRequestor(Protocol, Transceiver)",1,31,10,10,1,1
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, String)",7,16,1,1,7,3
"org.apache.avro.mapred.Pair.Pair(Float, CharSequence)",11,16,0,0,7,4
