class,path,package,methods
TestDeepCopy,lang\java\ipc\src\test\java\org\apache\avro\generic\TestDeepCopy.java,org.apache.avro.generic,testDeepCopy
SpecificData,lang\java\avro\src\main\java\org\apache\avro\specific\SpecificData.java,org.apache.avro.specific,"SpecificData,SpecificData,createDatumReader,createDatumReader,createDatumWriter,get,isEnum,createEnum,getEnumSchema,getClass,getWrapper,getClassName,getSchema,createSchema,getSchemaName,isStringable,getProtocol,compare,newInstance,createFixed,newRecord,getDecoder,getEncoder"
Schema,lang\java\avro\src\main\java\org\apache\avro\Schema.java,org.apache.avro,"Schema,create,addProp,addProp,getLogicalType,setLogicalType,createRecord,createRecord,createRecord,createEnum,createArray,createMap,createUnion,createUnion,createFixed,getType,getField,getFields,setFields,getEnumSymbols,getEnumOrdinal,hasEnumSymbol,getName,getDoc,getNamespace,getFullName,addAlias,addAlias,getAliases,isError,getElementType,getValueType,getTypes,getIndexNamed,getFixedSize,toString,toString,toJson,fieldsToJson,equals,hashCode,computeHash,equalCachedHash,parse,parse,parse,parse,validateName,validateDefault,isValidDefault,parse,parseAliases,getRequiredText,getOptionalText,parseJson,applyAliases,applyAliases,getAliases,getFieldAlias"
GenericData,lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,org.apache.avro.generic,"setStringType,get,GenericData,GenericData,getClassLoader,addLogicalTypeConversion,getConversionByClass,getConversionByClass,getConversionFor,createDatumReader,createDatumReader,createDatumWriter,validate,toString,toString,writeEscapedString,induce,setField,getField,getRecordState,setField,getField,resolveUnion,getSchemaName,instanceOf,isArray,getArrayAsCollection,isRecord,getRecordSchema,isEnum,getEnumSchema,isMap,isFixed,getFixedSchema,isString,isBytes,isInteger,isLong,isFloat,isDouble,isBoolean,hashCode,hashCodeAdd,compare,compare,getDefaultValue,deepCopy,createFixed,createFixed,createEnum,newRecord"
ThriftDatumWriter,lang\java\thrift\src\main\java\org\apache\avro\thrift\ThriftDatumWriter.java,org.apache.avro.thrift,"ThriftDatumWriter,ThriftDatumWriter,ThriftDatumWriter,ThriftDatumWriter,ThriftDatumWriter,writeBytes"
Encoder,lang\java\avro\src\main\java\org\apache\avro\io\Encoder.java,org.apache.avro.io,"writeNull,writeBoolean,writeInt,writeLong,writeFloat,writeDouble,writeString,writeString,writeString,writeBytes,writeBytes,writeBytes,writeFixed,writeFixed,writeFixed,writeEnum,writeArrayStart,setItemCount,startItem,writeArrayEnd,writeMapStart,writeMapEnd,writeIndex"
GenericDatumWriter,lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,org.apache.avro.generic,"GenericDatumWriter,GenericDatumWriter,GenericDatumWriter,GenericDatumWriter,getData,setSchema,write,write,convert,writeWithoutConversion,npe,writeRecord,writeField,writeEnum,writeArray,resolveUnion,getArraySize,getArrayElements,writeMap,getMapSize,getMapEntries,writeString,writeString,writeBytes,writeFixed,error"
ThriftData,lang\java\thrift\src\main\java\org\apache\avro\thrift\ThriftData.java,org.apache.avro.thrift,"ThriftData,get,createDatumReader,createDatumWriter,setField,getField,setField,getField,getRecordState,getSchemaName,isRecord,isEnum,getEnumSchema,isBytes,newRecord,getRecordSchema,getSchema,getSchema,nullable"
ValidatingGrammarGenerator,lang\java\avro\src\main\java\org\apache\avro\io\parsing\ValidatingGrammarGenerator.java,org.apache.avro.io.parsing,"generate,generate"
Symbol,lang\java\avro\src\main\java\org\apache\avro\io\parsing\Symbol.java,org.apache.avro.io.parsing,"Symbol,Symbol,root,seq,repeat,alt,error,resolve,flatten,flattenedSize,flatten,copyFixups,flattenedSize,hasErrors,hasErrors,intCheckAction,enumAdjustAction,writerUnionAction,skipAction,fieldAdjustAction,fieldOrderAction,defaultStartAction,unionAdjustAction,enumLabelsAction"
