class path,method name,method arguments,Time,OwnTime,count
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveMaven2ParentPomDualResolver,,585,0,1
src\java\org\apache\ivy\util\cli\CommandLine.java,getOptionValues,String,0,0,23
src\java\org\apache\ivy\plugins\resolver\util\ResolverHelper.java,listAll,"URLLister, URL",0,0,5
src\java\org\apache\ivy\core\sort\SortEngine.java,<init>,SortEngineSettings,0,0,1794
test\java\org\apache\ivy\core\resolve\ResolveTest.java,ivyTestCache,,54,0,5
test\java\org\apache\ivy\plugins\resolver\URLResolverTest.java,testFile,,3,0,1
src\java\org\apache\ivy\ant\IvyCachePath.java,doExecute,,12754,0,12
test\java\org\apache\ivy\ant\IvyArtifactPropertyTest.java,setUp,,2,0,3
src\java\org\apache\ivy\plugins\resolver\IBiblioResolver.java,setPattern,String,0,0,3
src\java\org\apache\ivy\util\url\URLHandlerDispatcher.java,isReachable,URL,3,0,5
src\java\org\apache\ivy\Ivy14.java,download,"Artifact, File, boolean",1,0,1
src\java\org\apache\ivy\core\search\OrganisationEntry.java,<init>,"DependencyResolver, String",0,0,91
test\java\org\apache\ivy\plugins\resolver\FileSystemResolverTest.java,testAbortTransaction,,17,0,1
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,hasError,,39,0,351
src\java\org\apache\ivy\core\IvyPatternHelper.java,substituteVariables,"String, IvyVariableContainer, Stack",18139,279,287260
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,addTTL,"Map, PatternMatcher, long",10,0,3
src\java\org\apache\ivy\ant\IvyDeliver.java,setCache,File,0,0,1
src\java\org\apache\ivy\util\AbstractMessageLogger.java,clearProblems,,1,1,884
src\java\org\apache\ivy\plugins\resolver\DualResolver.java,setDescriptor,String,0,0,2
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testDoubleRetrieveWithDifferentConfigurations,,283,0,1
src\java\org\apache\ivy\ant\IvyTask.java,getIvyInstance,,10981,1,819
src\java\org\apache\ivy\core\resolve\ResolveEngine.java,checkConflictSolvedSelected,"VisitNode, VisitNode",150,10,4335
src\java\org\apache\ivy\plugins\resolver\packager\PackagerCacheEntry.java,build,"Resource, Map",1,0,1
src\java\org\apache\ivy\Ivy14.java,deliver,"ModuleRevisionId, String, File, String, String, Date, PublishingDependencyRevisionResolver, boolean",14,0,1
src\java\org\apache\ivy\plugins\latest\LatestTimeStrategy.java,<init>,,0,0,2439
test\java\org\apache\ivy\ant\IvyInstallTest.java,testIVY843,,280,0,1
src\java\org\apache\ivy\plugins\version\SubVersionMatcher.java,<init>,,0,0,475
test\java\org\apache\ivy\plugins\resolver\IBiblioResolverTest.java,testIBiblioArtifacts,,800,0,1
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,convertM2OrganizationForResourceSearch,String,0,0,7
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testConfigurationMapping1,,457,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getDependencyArtifacts,String,20,8,4189
src\java\org\apache\ivy\plugins\parser\m2\PomModuleDescriptorWriter.java,printModuleId,"ModuleDescriptor, PrintWriter",1,0,6
src\java\org\apache\ivy\core\search\ModuleEntry.java,getResolver,,0,0,21
src\java\org\apache\ivy\plugins\resolver\packager\PackagerResolver.java,setDescriptor,String,0,0,3
src\java\org\apache\ivy\core\resolve\VisitNode.java,computeRoot,,0,0,1845
test\java\org\apache\ivy\plugins\resolver\IBiblioResolverTest.java,testInitFromConf,,5,0,1
test\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorWriterTest.java,testDependencies,,46,0,1
test\java\org\apache\ivy\ant\IvyResolveTest.java,testDontCheckIfChanged,,351,0,1
test\java\org\apache\ivy\plugins\conflict\LatestCompatibleConflictManagerTest.java,<init>,,0,0,11
test\java\org\apache\ivy\ant\IvyConvertPomTest.java,<init>,,0,0,1
src\java\org\apache\ivy\util\url\BasicURLHandler.java,upload,"File, URL, CopyProgressListener",1,0,6
src\java\org\apache\ivy\Ivy.java,resolve,"URL, ResolveOptions",147154,0,384
src\java\org\apache\ivy\core\IvyPatternHelper.java,substitute,"String, String, String, String, String, String, String, String, Map",212,0,988
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,<init>,"DefaultDependencyDescriptor, ModuleRevisionId",2,1,61
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testTransitiveEviction2,,551,0,1
src\java\org\apache\ivy\plugins\version\AbstractVersionMatcher.java,accept,"ModuleRevisionId, ModuleDescriptor",125,3,2403
test\java\org\apache\ivy\plugins\resolver\IvyRepResolverTest.java,<init>,,0,0,3
src\java\org\apache\ivy\plugins\circular\AbstractLogCircularDependencyStrategy.java,getCircularDependencyId,ModuleRevisionId[],12,1,83
src\java\org\apache\ivy\core\check\CheckEngine.java,<init>,"CheckEngineSettings, ResolveEngine",0,0,6
src\java\org\apache\ivy\core\resolve\IvyNode.java,getDependencies,"String, String, String",1895,50,3610
src\java\org\apache\ivy\core\cache\ArtifactOrigin.java,toString,,0,0,1
test\java\org\apache\ivy\plugins\matcher\ExactPatternMatcherTest.java,<init>,,0,0,7
src\java\org\apache\ivy\plugins\resolver\IBiblioResolver.java,locate,Artifact,5027,0,129
src\java\org\apache\ivy\core\resolve\IvyNodeUsage.java,blacklist,IvyNodeBlacklist,0,0,17
test\java\org\apache\ivy\plugins\parser\xml\XmlModuleUpdaterTest.java,testVariableReplacement,,50,0,1
src\java\org\apache\ivy\plugins\resolver\VsftpResolver.java,getAuthentication,,0,0,6
src\java\org\apache\ivy\util\MemoryUtil.java,gc,,4784,0,10
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveExcludesModuleWide,,502,0,1
test\java\org\apache\ivy\util\url\ApacheURLListerTest.java,testRetrieveListingWithSpaces,,0,0,1
test\java\org\apache\ivy\plugins\resolver\ChainResolverTest.java,testOrderFromConf,,1,0,1
test\java\org\apache\ivy\ant\IvyResolveTest.java,testResolveWithoutIvyFile,,299,0,1
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testIVY218,,455,0,1
test\java\org\apache\ivy\plugins\parser\xml\XmlModuleUpdaterTest.java,testUpdateWithExcludeConfigurations1,,56,0,1
src\java\org\apache\ivy\core\settings\IvySettings.java,addConfigured,ReportOutputter,0,0,1
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testUseOrigin,,313,0,1
