method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.filterNames(Collection),1,247,15,47,1,2
org.apache.ivy.core.deliver.DeliverOptions.getConfs(),13,232,15,41,0,0
org.apache.ivy.core.install.InstallOptions.setArtifactFilter(Filter),15,701,15,124,0,0
org.apache.ivy.core.module.descriptor.AbstractIncludeExcludeRule.getId(),0,11,3,6,0,0
org.apache.ivy.core.cache.CacheMetadataOptions.getNamespace(),18,371,16,73,0,0
org.apache.ivy.plugins.repository.Resource.clone(String),18,24,5,7,0,0
"org.apache.ivy.plugins.report.XmlReportParser.SaxXmlReportParser.XmlReportParserHandler.startElement(String, String, String, Attributes)",18,198,0,0,14,44
"org.apache.ivy.core.resolve.VisitNode.getRequiredConfigurations(VisitNode, String)",13,451,13,91,3,2
org.apache.ivy.plugins.repository.file.FileRepository.delete(File),1,27,6,7,1,1
org.apache.ivy.plugins.matcher.GlobPatternMatcher.GlobMatcher.matches(String),-1,1,0,0,0,0
org.apache.ivy.core.sort.ModuleInSort.getDependencies(),4,36,5,10,1,1
org.apache.ivy.plugins.conflict.LatestConflictManager.IvyNodeArtifactInfo.getLastModified(),18,3,0,0,2,1
org.apache.ivy.core.module.descriptor.DependencyArtifactDescriptor.getExt(),0,57,7,22,0,0
org.apache.ivy.plugins.resolver.RepositoryResolver.isAlwaysCheckExactRevision(),14,249,16,40,0,0
org.apache.ivy.core.resolve.ResolvedModuleRevision.getPublicationDate(),1,4,1,2,1,1
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)",5,515,15,82,7,12
org.apache.ivy.ant.IvyPublish.addConfiguredArtifacts(ArtifactsPattern),18,2,0,0,1,1
org.apache.ivy.core.sort.SortOptions.setNonMatchingVersionReporter(NonMatchingVersionReporter),0,67,9,15,0,0
"org.apache.ivy.plugins.report.XmlReportWriter.outputEvictionInformation(ConfigurationResolveReport, PrintWriter, IvyNode)",6,95,4,30,6,7
"org.apache.ivy.core.IvyPatternHelper.substitute(String, String, String, String, String, String, String)",2,398,11,62,2,3
org.apache.ivy.core.settings.IvySettings.getDefaultPropertiesURL(),1,5,2,2,1,1
"org.apache.ivy.core.IvyContext.pop(String, Object)",11,13,5,4,0,0
org.apache.ivy.ant.IvyPostResolveTask.getArtifactFilter(),0,414,11,84,0,0
org.apache.ivy.plugins.resolver.BasicResolver.logAttempt(String),13,249,15,46,5,5
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)",13,26,5,4,5,5
org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.addIvyPattern(String),8,4,3,1,0,0
org.apache.ivy.core.resolve.IvyNodeBlacklist.getEvictedNode(),18,29,6,9,0,0
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),18,17,1,1,5,5
"org.apache.ivy.Ivy14.resolve(ModuleDescriptor, String[], File, Date, boolean, boolean, Filter)",18,635,0,0,16,99
org.apache.ivy.core.module.descriptor.DependencyArtifactDescriptor.getDependencyDescriptor(),4,13,3,10,0,0
org.apache.ivy.Ivy.interrupt(),18,17,1,1,5,5
org.apache.ivy.plugins.latest.LatestLexicographicStrategy.LatestLexicographicStrategy(),4,65,5,25,1,2
"org.apache.ivy.core.resolve.IvyNodeUsage.updateDataFrom(Collection, String)",4,257,16,49,2,2
