method,method,invocation counts
com.intellij.rt.execution.application.AppMain.main(String[]),org.apache.ivy.ant.IvyCacheFilesetTest.testEmptyConf(),1
org.apache.ivy.ant.IvyCacheFilesetTest.testEmptyConf(),org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),1
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),org.apache.tools.ant.DirectoryScanner.scan(),73
org.apache.tools.ant.DirectoryScanner.scan(),org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),73
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",17
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)","org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String, File, boolean)",1749
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String, File, boolean)","org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",1749
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)","org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",8417
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",org.apache.tools.ant.DirectoryScanner.isExcluded(String),8473
org.apache.tools.ant.DirectoryScanner.isExcluded(String),"org.apache.tools.ant.DirectoryScanner.matchPath(String, String, boolean)",12696
"org.apache.tools.ant.DirectoryScanner.matchPath(String, String, boolean)","org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)",23199
"org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)",org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),46398
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),java.lang.String.charAt(int),3187996
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),"java.lang.String.substring(int, int)",134244
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),java.lang.String.substring(int),50096
org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePathAsArray(String),java.lang.String.length(),50184
"org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)","org.apache.tools.ant.types.selectors.SelectorUtils.match(String, String, boolean)",13455
"org.apache.tools.ant.types.selectors.SelectorUtils.match(String, String, boolean)",java.lang.String.toCharArray(),26910
"org.apache.tools.ant.types.selectors.SelectorUtils.matchPath(String, String, boolean)",java.lang.String.startsWith(String),46398
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",java.util.Vector.contains(Object),25419
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String, File)",java.util.Vector.addElement(Object),8473
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.isDirectory(),12332
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",org.apache.tools.ant.DirectoryScanner.isIncluded(String),10430
org.apache.tools.ant.DirectoryScanner.isIncluded(String),"org.apache.tools.ant.DirectoryScanner.matchPath(String, String, boolean)",10503
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.isFile(),8537
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.list(),1902
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)","java.io.File.<init>(File, String)",10430
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.io.File.exists(),1902
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.lang.StringBuffer.append(String),21132
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.lang.StringBuffer.toString(),10566
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",org.apache.tools.ant.DirectoryScanner.hasBeenScanned(String),1902
org.apache.tools.ant.DirectoryScanner.hasBeenScanned(String),java.util.HashSet.add(Object),1902
"org.apache.tools.ant.DirectoryScanner.scandir(File, String, boolean)",java.lang.StringBuffer.<init>(),10566
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String, File, boolean)",org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(String),1749
org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(String),"org.apache.tools.ant.DirectoryScanner.matchPatternStart(String, String, boolean)",1893
"org.apache.tools.ant.DirectoryScanner.matchPatternStart(String, String, boolean)","org.apache.tools.ant.types.selectors.SelectorUtils.matchPatternStart(String, String, boolean)",1893
