method,Time,OwnTime,count
org.apache.ivy.ant.IvyConfigure_ESTest.test06(),0,0,1
org.apache.ivy.core.sort.ModuleInSort_ESTest.<init>(),0,0,24
sun.net.www.protocol.file.FileURLConnection.connect(),772,772,9585
"java.net.URLStreamHandler.sameFile(URL, URL)",3,2,322
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.getMetadataArtifact(ModuleRevisionId, Resource)",2,0,58
org.apache.ivy.ant.IvyListModules_ESTest.test20(),0,0,1
org.apache.ivy.plugins.resolver.packager.PackagerCacheEntry_ESTest.test09(),0,0,1
"org.apache.ivy.core.event.IvyEventFilter$2.<init>(IvyEventFilter, String, Matcher[])",0,0,15
org.apache.ivy.ant.IvyPublish_ESTest.test25(),0,0,1
org.apache.ivy.plugins.repository.AbstractRepository_ESTest.test12(),0,0,1
org.apache.ivy.plugins.resolver.AbstractResolver_ESTest.test32(),0,0,1
org.apache.ivy.plugins.resolver.RepositoryResolver.isAlwaysCheckExactRevision(),0,0,151
"org.apache.xerces.impl.xs.traversers.XSDElementTraverser.traverseLocal(XSParticleDecl, Element, XSDocumentInfo, SchemaGrammar, int,",5919,22,13916
org.apache.ivy.util.Credentials_ESTest.test26(),0,0,1
"org.apache.xerces.impl.xs.traversers.XSAttributeChecker.validate(Object[], String, String, int,",93,41,47712
"org.apache.ivy.core.IvyPatternHelper.substitute(String, String, String, String, String, String, String)",123,0,436
org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver_ESTest.test06(),67,0,1
org.apache.ivy.plugins.repository.url.URLResource_ESTest.test14(),0,0,1
org.apache.ivy.core.resolve.ResolveEngine_ESTest.test21(),5,0,1
org.apache.ivy.ant.IvyListModulesTest.<init>(),0,0,2
java.util.HashSet.remove(Object),39,39,10198
org.apache.ivy.plugins.namespace.MRIDRule_ESTest.test15(),0,0,1
org.evosuite.runtime.mock.java.lang.MockException.getMessage(),0,0,12
org.apache.ivy.core.sort.ModuleInSort_ESTest.test05(),0,0,1
org.apache.tools.ant.Task.log(String),6,0,313
org.apache.ivy.core.settings.IvySettings.addConfigured(PatternMatcher),0,0,2
org.apache.ivy.plugins.repository.vfs.VfsResource.clone(String),0,0,1
org.apache.ivy.plugins.matcher.GlobPatternMatcher$GlobMatcher.isExact(),0,0,5
java.util.ArrayList.<init>(int),92,92,56058
org.apache.ivy.core.retrieve.RetrieveEngine_ESTest.test8(),73,0,1
org.apache.ivy.core.module.descriptor.Configuration_ESTest.test14(),16,0,1
org.apache.ivy.core.RelativeUrlResolver_ESTest.test0(),0,0,1
org.apache.ivy.ant.IvyRepositoryReport_ESTest.test21(),0,0,1
org.apache.ivy.ant.IvyAntVariableContainer.clone(),0,0,1
"org.apache.tools.ant.taskdefs.PumpStreamHandler.createProcessOutputPump(InputStream, OutputStream)",1,0,1
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.error(SAXParseException),0,0,10
org.apache.ivy.plugins.resolver.VsftpResolver.setReadTimeout(long),0,0,4
org.apache.ivy.plugins.repository.ResourceHelper_ESTest.test10(),0,0,1
"org.apache.ivy.Ivy14.download(Artifact, File, boolean)",1,0,1
org.apache.ivy.core.resolve.ResolveEngine_ESTest.test28(),6,0,1
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser_ESTest.test61(),6,0,1
org.apache.ivy.ant.IvyResolveTest.createCache(),13,0,23
org.apache.ivy.util.FileUtil_ESTest.test28(),0,0,1
org.apache.ivy.core.resolve.ResolveEngine_ESTest.test12(),119,0,1
"ivy_report_graph$0.<init>() pred(funcall(not, [cast(step(""attribute"", 23),",0,0,7
org.apache.ivy.util.Configurator$ObjectDescriptor.getAddMethod(Class),45,1,7166
org.apache.ivy.core.resolve.VisitData_ESTest.test2(),0,0,1
