method,pattern,space
"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",FreqExec,"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File)"
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",FreqExec,"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File); org.apache.ivy.plugins.resolver.RepositoryResolver_ESTest.test32(); org.apache.ivy.plugins.resolver.RepositoryResolver_ESTest.test33(); org.apache.ivy.plugins.resolver.BasicResolver_ESTest.test15(); org.apache.ivy.plugins.resolver.RepositoryResolver_ESTest.test13(); org.apache.ivy.plugins.resolver.BasicResolver_ESTest.test20()"
"org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String, String, Map)",FreqExec,"org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String, String, Map); org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, String, Map); org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(ModuleRevisionId, String, String); org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(ModuleRevisionId, String); org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String); org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String, String)"
org.apache.ivy.plugins.resolver.BasicResolver.listModules(OrganisationEntry),HotCallee,"org.apache.ivy.plugins.resolver.BasicResolver.listModules(OrganisationEntry); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findNames(Map, String)"
org.apache.ivy.plugins.resolver.AbstractResolver.fromSystem(Artifact),FreqExec,org.apache.ivy.plugins.resolver.AbstractResolver.fromSystem(Artifact); org.apache.ivy.plugins.resolver.BasicResolver$5.resolve(Artifact); org.apache.ivy.plugins.resolver.AbstractResolver_ESTest.test41(); org.apache.ivy.plugins.resolver.AbstractResolver_ESTest.test16(); org.apache.ivy.plugins.resolver.AbstractResolver_ESTest.test15(); org.apache.ivy.plugins.resolver.BasicResolver_ESTest.test04(); org.apache.ivy.plugins.resolver.BasicResolver_ESTest.test25()
"org.apache.ivy.osgi.obr.xml.CapabilityAdapter.getExportPackage(BundleInfo, Capability)",FreqExec,"org.apache.ivy.osgi.obr.xml.CapabilityAdapter.getExportPackage(BundleInfo, Capability); org.apache.ivy.osgi.obr.xml.CapabilityAdapter.adapt(BundleInfo, Capability)"
"org.apache.ivy.core.event.download.StartArtifactDownloadEvent.StartArtifactDownloadEvent(DependencyResolver, Artifact, ArtifactOrigin)",FreqExec,"org.apache.ivy.core.event.download.StartArtifactDownloadEvent.StartArtifactDownloadEvent(DependencyResolver, Artifact, ArtifactOrigin); org.apache.ivy.plugins.resolver.AbstractResolver$1.startArtifactDownload(RepositoryCacheManager, ResolvedResource, Artifact, ArtifactOrigin); org.apache.ivy.core.event.download.DownloadEvent_ESTest.test0(); org.apache.ivy.core.event.download.StartArtifactDownloadEvent_ESTest.test2(); org.apache.ivy.core.event.download.StartArtifactDownloadEvent_ESTest.test1(); org.apache.ivy.core.event.download.StartArtifactDownloadEvent_ESTest.test3(); org.apache.ivy.core.event.download.StartArtifactDownloadEvent_ESTest.test0()"
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),HotExec,org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer); org.apache.ivy.ant.IvyAntSettings.createIvyEngine(ProjectComponent); org.apache.ivy.core.settings.IvySettings.IvySettings()
org.apache.ivy.util.AbstractMessageLogger.info(String),FreqExec,org.apache.ivy.util.AbstractMessageLogger.info(String); org.apache.ivy.util.MessageLoggerEngine.info(String); org.apache.ivy.util.MessageLoggerHelper.sumupProblems(MessageLogger); org.apache.ivy.util.Message.info(String); org.apache.ivy.util.AbstractMessageLogger_ESTest.test19()
"org.apache.ivy.util.extendable.ExtendableItemHelper.fillExtraAttributes(ParserSettings, DefaultExtendableItem, Attributes, String[])",FreqExec,"org.apache.ivy.util.extendable.ExtendableItemHelper.fillExtraAttributes(ParserSettings, DefaultExtendableItem, Attributes, String[]); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.confStarted(Attributes); org.apache.ivy.util.extendable.ExtendableItemHelper_ESTest.test2(); org.apache.ivy.util.extendable.ExtendableItemHelper_ESTest.test1()"
