class path,method name,method arguments,LOC,Cyclomatic
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\ExecutionContext.java,ExecutionContext,Operators,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\ExecutionContext.java,getStack,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\ExecutionContext.java,getOperators,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\ExecutionContext.java,popNumber,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\ExecutionContext.java,popInt,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\function\type4\ExecutionContext.java,popReal,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\shading\RadialShadingPaint.java,RadialShadingPaint,"PDShadingType3, Matrix, int",6,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\shading\RadialShadingPaint.java,getTransparency,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\shading\RadialShadingPaint.java,createContext,"ColorModel, Rectangle, Rectangle2D, AffineTransform, RenderingHints",13,2
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,Matrix,,5,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,reset,,4,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,createAffineTransform,,8,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,setFromAffineTransform,AffineTransform,9,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,getValue,"int, int",4,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,setValue,"int, int, float",4,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,getValues,,14,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,getValuesAsDouble,,14,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,multiply,Matrix,4,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,multiply,"Matrix, Matrix",52,5
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,extractScaling,,7,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,getScaleInstance,"float, float",7,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,extractTranslating,,7,1
pdfbox\src\main\java\org\apache\pdfbox\util\Matrix.java,getTranslatingInstance,"float, float",7,1
