method,method,invocation counts
org.apache.pdfbox.debugger.colorpane.CSArrayBased.<init>(COSArray),org.apache.pdfbox.debugger.colorpane.CSArrayBased.initUI(),1
org.apache.pdfbox.debugger.colorpane.CSArrayBased.<init>(COSArray),org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase),1
org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase),"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources)",16
"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources)","org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",20
"org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.<init>(String, String, Object[][], String[])",org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView.createView(),2
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getToolTip(int, JTextComponent)",org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getWord(int),11
"org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getToolTip(int, JTextComponent)",org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController.getRowText(int),10
org.apache.pdfbox.pdmodel.PDResources.<init>(),org.apache.pdfbox.cos.COSDictionary.<init>(),61
org.apache.pdfbox.cos.COSDictionary.<init>(),org.apache.pdfbox.cos.COSBase.<init>(),3084
org.apache.pdfbox.cos.COSName.<init>(String),"org.apache.pdfbox.cos.COSName.<init>(String, boolean)",2355
"org.apache.pdfbox.cos.COSName.<init>(String, boolean)",org.apache.pdfbox.cos.COSBase.<init>(),3012
org.apache.pdfbox.debugger.flagbitspane.AnnotFlag.<init>(COSDictionary),org.apache.pdfbox.debugger.flagbitspane.Flag.<init>(),3
"org.apache.pdfbox.debugger.streampane.StreamPaneView.showStreamText(StyledDocument, ToolTipController)","org.apache.pdfbox.debugger.streampane.StreamTextView.<init>(StyledDocument, ToolTipController)",1
"org.apache.pdfbox.debugger.streampane.StreamTextView.<init>(StyledDocument, ToolTipController)",org.apache.pdfbox.debugger.streampane.StreamTextView.initUI(StyledDocument),2
"org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.getTreeCellRendererComponent(JTree, Object, boolean, boolean, boolean, int, boolean)",org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.toTreeObject(Object),10
"org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.getTreeCellRendererComponent(JTree, Object, boolean, boolean, boolean, int, boolean)",org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.lookupIconWithOverlay(Object),9
org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.lookupIconWithOverlay(Object),org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.lookupIcon(Object),9
org.apache.pdfbox.debugger.streampane.StreamImageView.<init>(BufferedImage),org.apache.pdfbox.debugger.streampane.StreamImageView.initUI(),2
