class,path,package,methods
RealType,xmpbox\src\main\java\org\apache\xmpbox\type\RealType.java,org.apache.xmpbox.type,"RealType,getValue,setValue,getStringValue"
XMPMetadata,xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,org.apache.xmpbox,"XMPMetadata,XMPMetadata,createXMPMetadata,createXMPMetadata,getTypeMapping,getXpacketBytes,getXpacketEncoding,getXpacketBegin,getXpacketId,getAllSchemas,setEndXPacket,getEndXPacket,getSchema,getSchema,getSchema,createAndAddDefaultSchema,createAndAddPDFAExtensionSchemaWithDefaultNS,createAndAddPDFAExtensionSchemaWithNS,getPDFExtensionSchema,createAndAddPFAIdentificationSchema,getPDFIdentificationSchema,createAndAddDublinCoreSchema,getDublinCoreSchema,createAndAddBasicJobTicketSchema,getBasicJobTicketSchema,createAndAddXMPRightsManagementSchema,getXMPRightsManagementSchema,createAndAddXMPBasicSchema,getXMPBasicSchema,createAndAddXMPMediaManagementSchema,createAndAddPhotoshopSchema,getPhotoshopSchema,getXMPMediaManagementSchema,createAndAddAdobePDFSchema,getAdobePDFSchema,addSchema,removeSchema,clearSchemas"
AbstractSimpleProperty,xmpbox\src\main\java\org\apache\xmpbox\type\AbstractSimpleProperty.java,org.apache.xmpbox.type,"AbstractSimpleProperty,setValue,getStringValue,getValue,getRawValue,toString,getNamespace,getPrefix"
FDFAnnotationPolyline,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\fdf\FDFAnnotationPolyline.java,org.apache.pdfbox.pdmodel.fdf,"FDFAnnotationPolyline,FDFAnnotationPolyline,FDFAnnotationPolyline,initVertices,initStyles,setVertices,getVertices,setStartPointEndingStyle,getStartPointEndingStyle,setEndPointEndingStyle,getEndPointEndingStyle,setInteriorColor,getInteriorColor"
COSArray,pdfbox\src\main\java\org\apache\pdfbox\cos\COSArray.java,org.apache.pdfbox.cos,"COSArray,add,add,add,clear,removeAll,retainAll,addAll,addAll,addAll,set,set,set,getObject,get,getInt,getInt,setInt,setName,getName,getName,setString,getString,getString,size,remove,remove,removeObject,toString,iterator,indexOf,indexOfObject,growToSize,growToSize,accept,isNeedToBeUpdated,setNeedToBeUpdated,toFloatArray,setFloatArray,toList"
COSDictionary,pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,org.apache.pdfbox.cos,"COSDictionary,COSDictionary,containsValue,getKeyForValue,size,clear,getDictionaryObject,getDictionaryObject,getDictionaryObject,getDictionaryObject,setItem,setItem,setItem,setBoolean,setBoolean,setItem,setName,setName,setDate,setDate,setEmbeddedDate,setEmbeddedDate,setString,setString,setEmbeddedString,setEmbeddedString,setInt,setInt,setLong,setLong,setEmbeddedInt,setEmbeddedInt,setFloat,setFloat,setFlag,getCOSName,getCOSName,getNameAsString,getNameAsString,getNameAsString,getNameAsString,getString,getString,getString,getString,getEmbeddedString,getEmbeddedString,getEmbeddedString,getEmbeddedString,getDate,getDate,getDate,getDate,getEmbeddedDate,getEmbeddedDate,getEmbeddedDate,getEmbeddedDate,getBoolean,getBoolean,getBoolean,getEmbeddedInt,getEmbeddedInt,getEmbeddedInt,getEmbeddedInt,getInt,getInt,getInt,getInt,getInt,getInt,getInt,getLong,getLong,getLong,getLong,getLong,getFloat,getFloat,getFloat,getFloat,getFlag,removeItem,getItem,getItem,keySet,entrySet,getValues,accept,isNeedToBeUpdated,setNeedToBeUpdated,addAll,containsKey,containsKey,mergeInto,getObjectFromPath,asUnmodifiableDictionary,toString,getDictionaryString"
COSName,pdfbox\src\main\java\org\apache\pdfbox\cos\COSName.java,org.apache.pdfbox.cos,"getPDFName,COSName,COSName,getName,toString,equals,hashCode,compareTo,isEmpty,accept,writePDF,clearResources"
PDAnnotationLine,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\annotation\PDAnnotationLine.java,org.apache.pdfbox.pdmodel.interactive.annotation,"PDAnnotationLine,PDAnnotationLine,setLine,getLine,setStartPointEndingStyle,getStartPointEndingStyle,setEndPointEndingStyle,getEndPointEndingStyle,setInteriorColor,getInteriorColor,setCaption,getCaption,setBorderStyle,getBorderStyle,getLeaderLineLength,setLeaderLineLength,getLeaderLineExtensionLength,setLeaderLineExtensionLength,getLeaderLineOffsetLength,setLeaderLineOffsetLength,getCaptionPositioning,setCaptionPositioning,setCaptionHorizontalOffset,getCaptionHorizontalOffset,setCaptionVerticalOffset,getCaptionVerticalOffset"
FDFAnnotation,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\fdf\FDFAnnotation.java,org.apache.pdfbox.pdmodel.fdf,"FDFAnnotation,FDFAnnotation,FDFAnnotation,create,getCOSObject,getPage,setPage,getColor,setColor,getDate,setDate,isInvisible,setInvisible,isHidden,setHidden,isPrinted,setPrinted,isNoZoom,setNoZoom,isNoRotate,setNoRotate,isNoView,setNoView,isReadOnly,setReadOnly,isLocked,setLocked,isToggleNoView,setToggleNoView,setName,getName,setRectangle,getRectangle,setContents,getContents,setTitle,getTitle,getCreationDate,setCreationDate,setOpacity,getOpacity,setSubject,getSubject,setIntent,getIntent,getRichContents,setRichContents,setBorderStyle,getBorderStyle,setBorderEffect,getBorderEffect,getStringOrStream,richContentsToString"
BlendMode,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\blend\BlendMode.java,org.apache.pdfbox.pdmodel.graphics.blend,"getInstance,createBlendModeMap,BlendMode"
