Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Release Note,Hadoop Flags,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Tags,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,External issue URL,Flags,Rank
Avro,AVRO-1,record fields should not be defined with a JSON object,Bug,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/9/2009 22:09,7/6/2017 7:39,7/14/2009 22:50,4/27/2009 20:14,1.0.0,1.0.0,spec,,0,0,,,,,,,AVRO-8,,"Avro uses JSON objects to define the fields of a record. Avro record fields are ordered, but JSON objects are not. While most JSON implementations preserve ordering of objects, Avro should not rely on this.",,,,,,,,4/27/2009 11:10,,,,"8 years, 11 weeks, 2 days ago",,96268,,,Restricted to agents,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79375,,,,,,,,0|i0dxlz:
Avro,AVRO-2,optimize RPC handshake,Improvement,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/9/2009 22:34,7/6/2017 7:37,7/14/2009 22:50,6/2/2009 19:04,,1.0.0,spec,,0,1,,,,,,,,,"In the current RPC handshake, each client sends its full protocol at the start of each session, and the server must return its full protocol. This could be expensive, and should be avoided when possible.",,,,,,,,6/3/2009 5:58,,,,"8 years, 6 weeks, 1 day ago",,94331,,,Restricted to agents,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79376,,,,,,,,0|i0dxm7:
Avro,AVRO-3,"ValueReader does not detect EOF, infinite loop results",Bug,Closed,Critical,Fixed,Doug Cutting,Patrick Hunt,Patrick Hunt,4/10/2009 20:14,,7/14/2009 22:50,4/10/2009 23:31,1.0.0,1.0.0,java,,0,0,,,,,,,,"Ubuntu 8.10, single core","readLong() will hang (100%cpu infinite loop) when the end of the stream is reached. in.read() returns -1 but that's not checked for. I suspect you want to throw EOFException similar to DataInput? Seems like all the read* methods in ValueReader have this issue. 
",,,,,,,,4/10/2009 21:38,,,,"8 years, 13 weeks, 5 days ago",,94332,,,Restricted to agents,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79378,,,,,,,,0|i0dxmn:
Avro,AVRO-4,difficult to develop Avro in Eclipse,Bug,Closed,Major,Fixed,Patrick Hunt,Patrick Hunt,Patrick Hunt,4/10/2009 23:20,,7/14/2009 22:50,4/14/2009 22:12,1.0.0,1.0.0,java,,0,0,,,,,,,,,"A fresh checkout of Avro cannot be compiled in eclipse due to tests relying on generated code. 

You can generate the needed code using ant, however eclipse still has issues due to the fact that the generated 
code is not placed in a directory hierarchy that mimics the package structure of the generated class(es). 

I was able to resolve by copying the generated Test.java/Interop.java into a dir struct that mimics the 
package struct, but otw I couldn't get Eclipse to compile the code fully. 
",,,,,,,,4/14/2009 22:12,,,,"8 years, 13 weeks, 1 day ago",,94333,,,Restricted to agents,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79379,,,,,,,,0|i0dxmv:
Avro,AVRO-5,Add java versus python RPC interoperability tests,Test,Closed,Major,Fixed,Sharad Agarwal,Sharad Agarwal,Sharad Agarwal,4/11/2009 10:54,,7/14/2009 22:50,4/15/2009 5:27,,1.0.0,"java, python",,0,0,,,,,,,,,Add java versus python RPC interoperability tests.,,,,,,,,4/13/2009 16:13,,,,"8 years, 13 weeks, 1 day ago",,94334,,,Restricted to agents,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79380,,,,,,,,0|i0dxn3:
Avro,AVRO-6,Better support for using customized in memory types with Avro GenericDatumReader and GenericDatumWriter,Improvement,Closed,Major,Fixed,Hong Tang,Hong Tang,Hong Tang,4/11/2009 17:32,,7/14/2009 22:50,4/14/2009 21:43,1.0.0,1.0.0,java,,0,0,,,,,,,AVRO-11,,"Currently Avro's GenericDatumReader/Writer requires Record, Array, and Map be subclasses of GenericRecord, GenericArray, and Map. Additionally, STRING and BYTES are mapped to Utf8 and ByteBuffer. Finally, Record fields are accessed through field names, this may be less efficient if a user-defined record class supports field access by positions (such as PIG Tuples). 

I suggest we improve the interface to (1) have more flexibility to use user-types with Avro; (2) support access to RECORDs by either field names or field positions.",,,,,,,,4/11/2009 18:14,,,,"8 years, 13 weeks, 1 day ago",,94335,,,Restricted to agents,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79381,,,,,,,,0|i0dxnb:
Avro,AVRO-7,ant test fails due to missing classes,Bug,Closed,Major,Invalid,Unassigned,Hong Tang,Hong Tang,4/11/2009 17:50,,7/14/2009 23:04,4/13/2009 9:15,,,java,,0,0,,,,,,,,,"""ant test"" fails due to missing classes: 

{code} 
compile-java-test: 
[javac] Compiling 5 source files to /home/htang/workspace/avro.svn/trunk/build/test/classes 
[javac] /home/htang/workspace/avro.svn/trunk/src/test/java/org/apache/avro/TestProtocolSpecific.java:61: cannot find symbol 
[javac] symbol : variable message 
[javac] location: class org.apache.avro.Test.TestError 
[javac] error.message = new Utf8(""an error""); 
{code} 
(more output omitted)",,,,,,,,,,,,"8 years, 13 weeks, 4 days ago",,94336,,,Restricted to agents,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79382,,,,,,,,0|i0dxnj:
Avro,AVRO-8,permit default values for record fields,Improvement,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/13/2009 19:04,,7/14/2009 22:50,5/11/2009 18:20,,1.0.0,spec,,0,0,,,,,,,"AVRO-1, AVRO-9",,"Record fields should permit the specification of default values in the schema. When a record is read, and the written version contains no value for a field, the default value from the schema is used.",,,,,,,,4/23/2009 3:09,,,,"8 years, 9 weeks, 2 days ago",,94337,,,Restricted to agents,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79383,,,,,,,,0|i0dxnr:
Avro,AVRO-9,restrict map keys to strings,Improvement,Closed,Major,Fixed,Sharad Agarwal,Doug Cutting,Doug Cutting,4/13/2009 19:50,,7/14/2009 22:50,4/27/2009 20:18,,1.0.0,spec,,0,0,,,,,,,AVRO-8,,"In many scripting languages, the standard map datastructure does not support arbitrary keys, but rather only strings and possibly numeric values. To simplify integration with such languages, Avro should restrict map keys to be strings. Thus, effectively, maps would become dynamic records, records whose field names vary from instance to instance.",,,,,,,,4/27/2009 11:39,,,,"8 years, 11 weeks, 2 days ago",,94338,,,Restricted to agents,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79384,,,,,,,,0|i0dxnz:
Avro,AVRO-10,add fixed-size type,Improvement,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/13/2009 20:42,,7/14/2009 22:50,5/22/2009 17:48,,1.0.0,spec,,0,0,,,,,,,,,"Avro should support an opaque binary type whose size in bytes is specified in the schema. This would permit, e.g., single-byte values, short values, and efficient representations for checksums pseudo-random values such as MD5 and SHA, dates, etc.",,,,,,,,5/22/2009 11:25,,,,"8 years, 7 weeks, 5 days ago",,94339,,,Restricted to agents,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79385,,,,,,,,0|i0dxo7:
