method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map<LitS, Symbol>)",4,66,11,21,99,39,35,21,0,377,22,25723,0.6,0.17955801104972377,0.5789473684210527,0.21,1.0,1.0,0.5,0.5,1e-13,0.0013619745379402032,0.00014072344644513386,3.4914682115203166e-05,0.37510048973912286
"org.apache.avro.Schema.parse(JsonNode, Names)",4,55,6,29,96,30,11,40,4,533,81,37765,0.6,0.14917127071823205,0.3157894736842105,0.29,0.9693877551020408,0.7631578947368421,0.15714285714285714,0.9523809523809523,1.0,0.0019255502088120113,0.000518118143729811,5.126032405717022e-05,0.355399537854373
"org.apache.avro.reflect.ReflectData.createSchema(Type, Map<String, Schema>)",5,43,7,19,86,23,14,40,2,37,1,181,0.5,0.11602209944751381,0.3684210526315789,0.19,0.8673469387755102,0.5789473684210527,0.2,0.9523809523809523,0.5,0.00013366858860421093,6.396520292960629e-06,2.443294759636331e-07,0.3248412735079839
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.encode(Encoder, Schema, JsonNode)",4,36,5,29,78,21,20,42,3,1,0,150,0.6,0.09668508287292818,0.2631578947368421,0.29,0.7857142857142857,0.5263157894736842,0.2857142857142857,1.0,0.75,3.6126645568705655e-06,1e-13,2.0225051065878517e-07,0.3247182437813208
org.apache.avro.specific.SpecificCompiler.compile(Schema),2,39,5,28,68,21,17,27,4,53,2,157,0.8,0.10497237569060773,0.2631578947368421,0.28,0.6836734693877551,0.5263157894736842,0.24285714285714285,0.6428571428571429,1.0,0.00019147122151413998,1.2793040585921259e-05,2.1175221250181533e-07,0.2619752809013782
org.apache.avro.io.parsing.Parser.advance(Symbol),2,122,6,64,24,7,70,6,1,186965,1291,7590674,0.8,0.3342541436464088,0.3157894736842105,0.64,0.23469387755102042,0.15789473684210525,1.0,0.14285714285714285,0.25,0.6754418288753052,0.008257907698212172,0.01030347309056277,0.2523680937715075
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map<LitS, Symbol>)",3,67,9,33,60,18,36,18,2,130,23,37070,0.7,0.18232044198895028,0.47368421052631576,0.33,0.6020408163265306,0.4473684210526316,0.5142857142857142,0.42857142857142855,0.5,0.0004696463923931735,0.00014711996673809447,5.031694080275508e-05,0.24908016026067578
org.apache.avro.ipc.Responder.respond(List<ByteBuffer>),6,223,12,67,58,10,13,36,2,117,0,61,0.4,0.6132596685082873,0.631578947368421,0.67,0.5816326530612245,0.23684210526315788,0.18571428571428572,0.8571428571428571,0.5,0.0004226817531538562,1e-13,8.144315865454435e-08,0.23270726383820844
"org.apache.avro.generic.GenericData.validate(Schema, Object)",9,16,3,14,45,26,19,18,4,1,1,778,0.09999999999999998,0.04143646408839779,0.15789473684210525,0.14,0.4489795918367347,0.6578947368421053,0.2714285714285714,0.42857142857142855,1.0,3.6126645568705655e-06,6.396520292960629e-06,1.0546889045763494e-06,0.22585949361422764
"org.apache.avro.RandomData.generate(Schema, Random, int)",9,20,3,14,43,20,18,26,3,198,23,27036,0.09999999999999998,0.052486187845303865,0.15789473684210525,0.14,0.42857142857142855,0.5,0.2571428571428571,0.6190476190476191,0.75,0.000715307582260372,0.00014711996673809447,3.669692990376011e-05,0.22561211094999714
"org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema, Map<LitS, Symbol>)",9,23,4,11,48,17,28,16,1,76,9,13192,0.09999999999999998,0.06077348066298342,0.21052631578947367,0.11,0.47959183673469385,0.42105263157894735,0.4,0.38095238095238093,0.25,0.00027456250632216297,5.7568682636645664e-05,1.790527843020158e-05,0.21020662584494051
"org.apache.avro.ipc.Requestor.request(String, Object)",6,346,19,83,44,8,15,34,4,607,0,61,0.4,0.9530386740331491,1.0,0.83,0.4387755102040816,0.18421052631578946,0.21428571428571427,0.8095238095238095,1.0,0.002192887386020433,1e-13,8.144315865454435e-08,0.20614029106594706
"org.apache.avro.specific.SpecificData.createSchema(java.lang.reflect.Type, Map<String, Schema>)",3,41,8,20,51,19,21,15,1,11,0,62,0.7,0.11049723756906077,0.42105263157894735,0.2,0.5102040816326531,0.47368421052631576,0.3,0.35714285714285715,0.25,3.973931012557622e-05,1e-13,8.28005446321201e-08,0.20513126896845588
