method1,method2,method_score1,method_score2,space_size1,space_size2,space_score1,space_score2
org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress),"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, ChannelFactory, Map<String, Object>)",0.001682987464342503,0.04120980753518646,,,,
"org.apache.avro.generic.GenericData.deepCopy(Schema, Object)","org.apache.avro.generic.GenericData.deepCopy(Schema, T)",0.29698366459360415,0.17752556965710595,,,,
org.apache.avro.util.Utf8.toString(),org.apache.avro.util.Utf8.toString(),0.0494028154225462,0.0407365593337244,,,,
org.apache.avro.util.Utf8.getBytesFor(String),org.apache.avro.util.Utf8.getBytesFor(String),0.006112032594477563,0.004456121502980879,,,,
org.apache.avro.ipc.NettyTransceiver.disconnect(),"org.apache.avro.ipc.NettyTransceiver.disconnect(boolean, boolean, Throwable)",0.0005462608495523466,0.07282817000490915,,,,
org.apache.avro.ipc.NettyTransceiver.writeBuffers(List<ByteBuffer>),org.apache.avro.ipc.NettyTransceiver.writeBuffers(List<ByteBuffer>),0.0011527154445327259,0.0044026699184785195,,,,
org.apache.avro.ipc.NettyTransceiver.writeDataPack(NettyDataPack),org.apache.avro.ipc.NettyTransceiver.writeDataPack(NettyDataPack),0.011855235025037745,0.004419200638331336,,,,
org.apache.avro.ipc.NettyTransceiver.getChannel(),org.apache.avro.ipc.NettyTransceiver.getChannel(),0.03577935081787704,0.0432844358129539,,,,
org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress),"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, ChannelFactory, Map<String, Object>)",0.001682987464342503,0.04120980753518646,,,,
"org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)","org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)",0.03812976984002106,0.03215848676968447,10,15,0.037880781605705086,0.022861142755955997
"org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder)","org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder)",0.034825457462684915,0.019978690458026287,5,8,0.04329199982748394,0.023194203236100063
"org.apache.avro.io.EncoderFactory.blockingBinaryEncoder(OutputStream, BinaryEncoder)","org.apache.avro.io.EncoderFactory.blockingBinaryEncoder(OutputStream, BinaryEncoder)",0.0043182972796249166,0.003518062195321316,2,2,0.006485974085560318,0.004579634590986063
"org.apache.avro.reflect.ReflectData.setField(Object, String, int, Object)","org.apache.avro.reflect.ReflectData.setField(Object, String, int, Object)",0.0033511235968732233,0.0010811024681581355,,,,
"org.apache.avro.reflect.ReflectData.setElement(Schema, Type)","org.apache.avro.reflect.ReflectData.setElement(Schema, Type)",0.01276655192509598,0.008259296344165896,,,,
"org.apache.avro.reflect.ReflectData.createSchema(Type, Map<String, Schema>)","org.apache.avro.reflect.ReflectData.createSchema(Type, Map<String, Schema>)",0.17655083976848332,0.19043320528717925,,,,
org.apache.avro.reflect.ReflectData.getClass(Schema),org.apache.avro.reflect.ReflectData.getClass(Schema),0.011001457021429527,0.014149998101961322,,,,
"org.apache.avro.reflect.ReflectData.getField(Object, String, int)","org.apache.avro.reflect.ReflectData.getField(Object, String, int)",0.00340054037784444,0.00138941314407172,,,,
"org.apache.avro.reflect.ReflectData.getClassProp(Schema, String)","org.apache.avro.reflect.ReflectData.getClassProp(Schema, String)",0.01654943948641075,0.01777117891610677,,,,
"org.apache.avro.reflect.ReflectData.createFieldSchema(Field, Map<String, Schema>)","org.apache.avro.reflect.ReflectData.createFieldSchema(Field, Map<String, Schema>)",0.01619957176300804,0.03656934180990005,,,,
