Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Estimated Complexity,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,CXF Fields,External issue URL,Flags,Rank
CXF,CXF-6085,JWE JSON Serialization,New Feature,Closed,Major,Fixed,Sergey Beryozkin,Daniel Torkian,Daniel Torkian,11/5/2014 9:56,,10/14/2016 14:13,3/1/2016 17:24,,"3.1.6, 3.0.9, 3.2.0","JAX-RS, JAX-RS Security",,0,2,,,,,,,,,https://tools.ietf.org/html/draft-ietf-jose-json-web-encryption-36#section-7.2,,,,,,,"jose, jwe, patch, serialization",Guru,1/28/2015 21:27,,,,"1 year, 21 weeks ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i21zpz:
CXF,CXF-6086,Disable SSLv3 by default for clients (+ servers based on Jetty),Improvement,Closed,Major,Fixed,Colm O hEigeartaigh,Colm O hEigeartaigh,Colm O hEigeartaigh,11/5/2014 17:11,,2/16/2015 16:09,11/5/2014 17:12,,"3.0.3, 2.7.14",,,0,1,,,,,,,,,"
This task is to disable SSLv3 by default for both clients, as well as Jetty servers configured via CXF's HTTPJ namespace, due to the POODLE attack.",,,,,,,,Unknown,,,,,"2 years, 37 weeks, 5 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i2209z:
CXF,CXF-6087,Add a way to exclude (multiple) SSL/TLS protocols in the HTTPJ namespace,Improvement,Closed,Major,Fixed,Colm O hEigeartaigh,Colm O hEigeartaigh,Colm O hEigeartaigh,11/5/2014 17:12,,2/16/2015 16:09,11/5/2014 17:46,,"3.0.3, 2.7.14",,,0,2,,,,,,,,,"
This task is to add a new configuration option to the HTTPJ namespace, to make it easy to exclude multiple SSL/TLS protocols if required.",,,,,,,,Unknown,,,,,"2 years, 37 weeks, 5 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i220a7:
CXF,CXF-6088,"When parsing xsd:enumeration the extra ""underscore"" added by parser",Bug,Closed,Major,Not A Problem,Daniel Kulp,Denys Tyshetskyy,Denys Tyshetskyy,11/6/2014 2:56,7/25/2017 13:21,2/16/2015 16:31,11/7/2014 18:43,2.2,Invalid,,,0,2,,,,,,,,,"When parsing this 

<xsd:simpleType name=""enum""> 
<xsd:restriction base=""xsd:string""> 
<xsd:enumeration value=""BC9_SS""/> 
</xsd:restriction> 
</xsd:simpleType> 

In the generated java file the element gets renamed into 

@XmlEnumValue(""BC9_SS"") 
BC_9_SS(""BC9_SS"") 

Expected behavior - 

in generated code - 

BC9_SS(""BC9_SS"") 

",,,,,,,,Unknown,11/7/2014 18:43,,,,"2 years, 37 weeks, 3 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i221f3:
CXF,CXF-6089,"XmlAccessorOrder.ALPHABETICAL, Exception.getMessage() duplicate WSDL elements generated",Bug,Closed,Major,Fixed,Alessio Soldano,Rebecca Searls,Rebecca Searls,11/6/2014 20:48,,2/16/2015 16:09,11/12/2014 11:53,2.7.13,"3.0.3, 2.7.14, 3.1",,,0,2,,,,,,,,,"When presented with a custom exception class with a XmlAccessorOrder.ALPHABETICAL 
annotation attribute the Exception.getMessage() method is listed twice as an element in a generated WSDL. 

The cause of duplicate message elements being listed in the generated WSDL 
is a duplication of the processing of ""cls"" by Utils.getGetters at line 
562 and addExceptionMessage() at line 587. Utils.getGetters checks for an 
Exception class defining method, getMessage. If method, ""getMessage"" is NOT 
annotated with @XmlTransient it is returned as a method to be processed and 
added to ""seq"" (lines 575-581) . A similar evaluation is performed by 
addExceptionMessage(). It adds a second ref to ""getMessage"" to ""seq"" when 
@XmlTransient is not present on the method, hence the duplicate elements in 
the WSDL. 

This same basic code exists back to version (2.6.x-fixes) 
http://svn.apache.org/repos/asf/cxf/branches/2.6.x-fixes 
I did not check version prior to that. 

{code} 
----- 
org.apache.cxf.jaxb.JAXBSchemaInitializer 

562 for (Method m : Utils.getGetters(cls, accessType)) { 
.......... 
575 JAXBBeanInfo beanInfo = getBeanInfo(type); 
576 if (beanInfo != null) { 
577 int idx = m.getName().startsWith(""get"") ? 3 : 2; 
578 String name = m.getName().substring(idx); 
579 name = Character.toLowerCase(name.charAt(0)) + name.substring(1); 
580 XmlElement xmlElementAnno = m.getAnnotation(XmlElement.class); 
581 addElement(schema, seq, beanInfo, new QName(namespace, name), isArray(type), xmlElementAnno); 
} 
} 
} 
// Create element in xsd:sequence for Exception.class 
if (Exception.class.isAssignableFrom(cls)) { 
587 addExceptionMessage(cls, schema, seq); 
} 

----- 
org.apache.cxf.jaxb.JAXBSchemaInitializer 

private void addExceptionMessage(Class<?> cls, XmlSchema schema, XmlSchemaSequence seq) { 
try { 
//a subclass could mark the message method as transient 
611 Method m = cls.getMethod(""getMessage""); 
612 if (!m.isAnnotationPresent(XmlTransient.class)) { 
JAXBBeanInfo beanInfo = getBeanInfo(java.lang.String.class); 
XmlSchemaElement exEle = new XmlSchemaElement(schema, false); 
exEle.setName(""message""); 
exEle.setSchemaTypeName(getTypeName(beanInfo)); 
exEle.setMinOccurs(0); 
618 seq.getItems().add(exEle); 
} 
} catch (Exception e) { 
//ignore, just won't have the message element 
} 


----- 
org.apache.cxf.jaxb.Utils 
121 if (method.isBridge() 
122 || Modifier.isStatic(method.getModifiers()) 
123 >> || method.isAnnotationPresent(XmlTransient.class) 
124 || method.getDeclaringClass().equals(Throwable.class) 
125 || ""getClass"".equals(method.getName())) { 
126 return false; 
} 
{code} 
",,,,,,,,Unknown,11/11/2014 17:47,,,,"2 years, 36 weeks, 6 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i222pz:
CXF,CXF-6090,java.lang.NullPointerException when running wsdl2java,Bug,Closed,Minor,Fixed,Daniel Kulp,Ashish,Ashish,11/7/2014 1:39,,2/16/2015 16:09,11/11/2014 1:03,3.0.1,"3.0.3, 2.7.14",,,0,2,,,,,,,,,"Getting below exception when running wsdl2java. Attached is my wsdl and pom.xml. 

java.lang.NullPointerException -> [Help 1] 
org.apache.maven.lifecycle.LifecycleExecutionException: Failed to execute goal org.apache.cxf:cxf-codegen-plugin:3.0.1:wsdl2java (wsdl2codeFaregate) on project faregate-api: Execution wsdl2codeFaregate of goal org.apache.cxf:cxf-codegen-plugin:3.0.1:wsdl2java failed: java.lang.NullPointerException 
at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:225) 
at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:153) 
at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:145) 
at org.apache.maven.lifecycle.internal.LifecycleModuleBuilder.buildProject(LifecycleModuleBuilder.java:84) 
at org.apache.maven.lifecycle.internal.LifecycleModuleBuilder.buildProject(LifecycleModuleBuilder.java:59) 
at org.apache.maven.lifecycle.internal.LifecycleStarter.singleThreadedBuild(LifecycleStarter.java:183) 
at org.apache.maven.lifecycle.internal.LifecycleStarter.execute(LifecycleStarter.java:161) 
at org.apache.maven.DefaultMaven.doExecute(DefaultMaven.java:319) 
at org.apache.maven.DefaultMaven.execute(DefaultMaven.java:156) 
at org.apache.maven.cli.MavenCli.execute(MavenCli.java:537) 
at org.apache.maven.cli.MavenCli.doMain(MavenCli.java:196) 
at org.apache.maven.cli.MavenCli.main(MavenCli.java:141) 
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) 
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 
at java.lang.reflect.Method.invoke(Method.java:606) 
at org.codehaus.plexus.classworlds.launcher.Launcher.launchEnhanced(Launcher.java:290) 
at org.codehaus.plexus.classworlds.launcher.Launcher.launch(Launcher.java:230) 
at org.codehaus.plexus.classworlds.launcher.Launcher.mainWithExitCode(Launcher.java:409) 
at org.codehaus.plexus.classworlds.launcher.Launcher.main(Launcher.java:352) 
Caused by: org.apache.maven.plugin.PluginExecutionException: Execution wsdl2codeFaregate of goal org.apache.cxf:cxf-codegen-plugin:3.0.1:wsdl2java failed: java.lang.NullPointerException 
at org.apache.maven.plugin.DefaultBuildPluginManager.executeMojo(DefaultBuildPluginManager.java:110) 
at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:209) 
... 19 more 
Caused by: org.apache.cxf.tools.common.ToolException: java.lang.NullPointerException 
at org.apache.cxf.tools.wsdlto.WSDLToJavaContainer.execute(WSDLToJavaContainer.java:420) 
at org.apache.cxf.tools.common.toolspec.ToolRunner.runTool(ToolRunner.java:103) 
at org.apache.cxf.tools.wsdlto.WSDLToJava.run(WSDLToJava.java:113) 
at org.apache.cxf.tools.wsdlto.WSDLToJava.run(WSDLToJava.java:86) 
at org.apache.cxf.maven_plugin.wsdl2java.WSDL2JavaMojo.generate(WSDL2JavaMojo.java:427) 
at org.apache.cxf.maven_plugin.AbstractCodegenMoho.execute(AbstractCodegenMoho.java:311) 
at org.apache.cxf.maven_plugin.wsdl2java.WSDL2JavaMojo.execute(WSDL2JavaMojo.java:524) 
at org.apache.maven.plugin.DefaultBuildPluginManager.executeMojo(DefaultBuildPluginManager.java:101) 
... 20 more 
Caused by: java.lang.NullPointerException 
at org.apache.cxf.xmlbeans.tools.XMLBeansToolingDataBinding.getType(XMLBeansToolingDataBinding.java:148) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ProcessorUtil.getFullClzName(ProcessorUtil.java:235) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.mapper.ParameterMapper.map(ParameterMapper.java:62) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ParameterProcessor.getParameterFromPart(ParameterProcessor.java:110) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ParameterProcessor.processInput(ParameterProcessor.java:219) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ParameterProcessor.buildParamModelsWithoutOrdering(ParameterProcessor.java:655) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ParameterProcessor.process(ParameterProcessor.java:87) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.OperationProcessor.processMethod(OperationProcessor.java:141) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.OperationProcessor.process(OperationProcessor.java:62) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.PortTypeProcessor.process(PortTypeProcessor.java:149) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.WSDLToJavaProcessor.wsdlDefinitionToJavaModel(WSDLToJavaProcessor.java:82) 
at org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.WSDLToJavaProcessor.process(WSDLToJavaProcessor.java:59) 
at org.apache.cxf.tools.wsdlto.WSDLToJavaContainer.processWsdl(WSDLToJavaContainer.java:285) 
at org.apache.cxf.tools.wsdlto.WSDLToJavaContainer.execute(WSDLToJavaContainer.java:164) 
at org.apache.cxf.tools.wsdlto.WSDLToJavaContainer.execute(WSDLToJavaContainer.java:412) 
... 27 more 
",,,,,,,,Unknown,11/10/2014 23:47,,,,"2 years, 37 weeks ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i2236v:
CXF,CXF-6091,Server is not properly stopped with MultipleEndpointObserver,Bug,Closed,Major,Fixed,Daniel Kulp,Vadim Beilin,Vadim Beilin,11/7/2014 10:18,,2/16/2015 16:09,11/7/2014 19:58,"2.5, 3.0.1","3.0.3, 2.7.14",Core,,0,2,,,,,,,,,"org.apache.cxf.endpoint.ServerImpl#stop() contains this code to handle MultipleEndpointObserver: 
{code} 
... 

if (slcMgr != null) { 
slcMgr.stopServer(this); 
} 

MessageObserver mo = getDestination().getMessageObserver(); 
if (mo instanceof MultipleEndpointObserver) { 
((MultipleEndpointObserver)mo).getEndpoints().remove(endpoint); 
if (!((MultipleEndpointObserver)mo).getEndpoints().isEmpty()) { 
return; 
} 
} 

getDestination().setMessageObserver(null); 
stopped = true; 
} 
{code} 
The intention seems to be to not remove the message observer until there are endpoints attached, but a side effect is that in such a case the server instance is _not_ marked as stopped, and therefore cannot be restarted. 

One way to solve it would be to change the code above to 
{code} 
if (slcMgr != null) { 
slcMgr.stopServer(this); 
} 

MessageObserver mo = getDestination().getMessageObserver(); 
if (mo instanceof MultipleEndpointObserver) { 
((MultipleEndpointObserver)mo).getEndpoints().remove(endpoint); 
if (((MultipleEndpointObserver)mo).getEndpoints().isEmpty()) { 
getDestination().setMessageObserver(null); 
} 
} else { 
getDestination().setMessageObserver(null); 
} 
stopped = true; 
} 
{code} 
making sure that stopped is set on all (non-throwing) codepaths. 
",,,,,,,,Unknown,11/7/2014 19:58,,,,"2 years, 37 weeks, 3 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i223nj:
CXF,CXF-6092,"When there is bad connection/timeout, ClientImpl throws NullPointerException",Bug,Closed,Major,Fixed,Daniel Kulp,Nikolai Penkov,Nikolai Penkov,11/7/2014 12:11,,2/16/2015 16:08,11/7/2014 19:59,"2.7.11, 2.7.12, 2.7.13, 3.0.2","3.0.3, 2.7.14",Core,,0,3,,,,,,,,,"When the connection when executing WebService all is interrupted or timed out, there is some kind of racing issue and the result is 
(the stacktrace and src code is from v. 2.7.11, but the same code is also in the other versions) 

Caused by: java.lang.NullPointerException 
at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:396) 

I suppose the problem is that when the connection is timed out/closed, the 
destroy() method is called in ClientImpl, where there is a statement that sets 
responseContext = null; 

and then in the finalize block of the invoke, there is the code that produces the NPE: 

} finally { 
if (context != null) { 
Map<String, Object> resp = CastUtils.cast((Map<?, ?>)context.get(RESPONSE_CONTEXT)); 
if (resp != null) { 
--NPE-----> responseContext.put(Thread.currentThread(), resp); 
} 
} 
} 

One possible solutions is to add verification also for not null value in responseContext.",,,,,,,,Unknown,11/7/2014 19:59,,,,"2 years, 37 weeks, 3 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i223r3:
CXF,CXF-6093,java.lang.ArrayIndexOutOfBoundsException,Bug,Open,Major,Unresolved,Unassigned,cristina petrache,cristina petrache,11/7/2014 13:05,,11/13/2014 10:08,,2.7,,Build system,,0,2,,,,,,,,,"When I try to generate WSDL and request/response wrapper classes with cxf-java2ws-plugin maven plugin I get : 


java.lang.ArrayIndexOutOfBoundsException: 3 
at org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.ResponseWrapper.buildFields(ResponseWrapper.java:106) 
at org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.ResponseWrapper.buildFields(ResponseWrapper.java:67) 
at org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.Wrapper.buildWrapperBeanClass(Wrapper.java:131) 
at org.apache.cxf.tools.java2wsdl.generator.wsdl11.WrapperBeanGenerator.generateBeanClasses(WrapperBeanGenerator.java:50) 
at org.apache.cxf.tools.java2wsdl.generator.wsdl11.BeanGenerator.generate(BeanGenerator.java:55) 

Thank you, 

Cristina",,,,,,,,Moderate,11/7/2014 18:27,,,,"2 years, 36 weeks, 5 days ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i223t3:
CXF,CXF-6094,wsdl2java - Default key managers cannot be initialized,Bug,Closed,Minor,Fixed,Daniel Kulp,member sound,member sound,11/7/2014 16:08,,2/16/2015 16:09,11/10/2014 23:50,3.0.2,"3.0.3, 2.7.14",Core,,0,3,,,,,,,,java 1.7,"C:\Users\Administrator\workspace\apache-cxf-3.0.2\bin> wsdl2java https://example.com/V1/HelpService?wsdl 

*Nov 03, 2014 1:11:20 PM org.apache.cxf.configuration.jsse.SSLUtils getDefaultKeyStoreManagers WARNING: Default key managers cannot be initialized: C:\Users\Administrator.keystore (The system cannot find the file specified) 


I'm getting the same error about 100 times if I start a soap webservice client that was autogenerated with cxf 3.0.1 but uses the new version 3.0.2. 
",,,,,,,,Unknown,11/7/2014 18:34,,,,"2 years, 37 weeks ago",,9.22337E+18,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9.22337E+18,,,,,,,,,0|i22413:
