file,method,issue,hash,date,title
src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParser.java,"addSourcesAndJavadocArtifactsIfPresent(PomModuleDescriptorBuilder,ParserSettings)",IVY-1529,12d3f281,2015-07-15 19:47:22,"IVY-1529 Add ivy.maven.sources.lookup and ivy.maven.javadoc.lookup variables to control the lookup of the additional artifacts. Defaults to true, for backward compatibility"
src/java/org/apache/ivy/ant/IvyBuildNumber.java,doExecute(),MyIssue-1,dc58a824,2014-12-26 14:22:23,Optimization: limit the revision numbers scanned if revision prefix is specified
src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,"overwriteExtraInfoIfExists(String,String)",IVY-1465,3076802a,2014-06-26 22:26:54,Fix IVY-1465 (performance issue from trunk)
src/java/org/apache/ivy/core/module/id/ModuleRules.java,"getRule(ModuleId,Filter)",IVY-1465,a6a5e303,2014-04-27 20:02:51,MPROVEMENT: ModuleRules.getRule is O(n) leading to resolution slowness (IVY-1465) (Thanks to Zhong Wang aka Kewpie)
src/java/org/apache/ivy/core/module/id/ModuleRules.java,ModuleRules(Map),IVY-1465,a6a5e303,2014-04-27 20:02:51,MPROVEMENT: ModuleRules.getRule is O(n) leading to resolution slowness (IVY-1465) (Thanks to Zhong Wang aka Kewpie)
src/java/org/apache/ivy/core/module/id/ModuleRules.java,"getRules(Map,Filter)",IVY-1465,a6a5e303,2014-04-27 20:02:51,MPROVEMENT: ModuleRules.getRule is O(n) leading to resolution slowness (IVY-1465) (Thanks to Zhong Wang aka Kewpie)
src/java/org/apache/ivy/core/module/id/ModuleRules.java,"defineRule(MapMatcher,Object)",IVY-1465,a6a5e303,2014-04-27 20:02:51,MPROVEMENT: ModuleRules.getRule is O(n) leading to resolution slowness (IVY-1465) (Thanks to Zhong Wang aka Kewpie)
src/java/org/apache/ivy/core/module/id/ModuleRules.java,"getRule(Map,Filter)",IVY-1465,a6a5e303,2014-04-27 20:02:51,MPROVEMENT: ModuleRules.getRule is O(n) leading to resolution slowness (IVY-1465) (Thanks to Zhong Wang aka Kewpie)
src/java/org/apache/ivy/core/IvyPatternHelper.java,"substituteVariables(String,IvyVariableContainer,Stack)",MyIssue-2,6f8302fe,2014-01-14 09:02:20,Remove unnecessary cast
src/java/org/apache/ivy/core/IvyPatternHelper.java,"substituteParams(String,IvyVariableContainer,Stack)",MyIssue-2,6f8302fe,2014-01-14 09:02:20,Remove unnecessary cast
