hash,author,date,title,file,methods
d0f7f364,Trung Do,2017-07-06 19:31:36,Fix some string comparisons with ==,src/java/org/apache/ivy/ant/IvyBuildList.java,isSkipbuildwithoutivy()->isSkipbuildwithoutivy()
d0f7f364,Trung Do,2017-07-06 19:31:36,Fix some string comparisons with ==,src/java/org/apache/ivy/core/cache/ParserSettingsMonitor.java,
d0f7f364,Trung Do,2017-07-06 19:31:36,Fix some string comparisons with ==,src/java/org/apache/ivy/core/module/id/MatcherLookup.java,"get(Map<String, String>)->get(Map<String, String>)"
d0f7f364,Trung Do,2017-07-06 19:31:36,Fix some string comparisons with ==,src/java/org/apache/ivy/core/report/ArtifactDownloadReport.java,toString()->toString()
d0f7f364,Trung Do,2017-07-06 19:31:36,Fix some string comparisons with ==,src/java/org/apache/ivy/osgi/p2/P2MetadataParser.java,ProvidesHandler()->ProvidesHandler()
d0f7f364,Trung Do,2017-07-06 19:31:36,Fix some string comparisons with ==,test/java/org/apache/ivy/core/cache/ModuleDescriptorMemoryCacheTest.java,testVariableChangeInvalidateEntry()->testVariableChangeInvalidateEntry()
c8712654,Jaikiran Pai,2017-07-03 15:13:18,Revert 4b6e0bd179c5f728761c953249b6dda4d33fe18a since it introduces failures on Windows (needs investigation),src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java,parseParentModuleOnFilesystem(String)->parseParentModuleOnFilesystem(String)
c8712654,Jaikiran Pai,2017-07-03 15:13:18,Revert 4b6e0bd179c5f728761c953249b6dda4d33fe18a since it introduces failures on Windows (needs investigation),test/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParserTest.java,testExtendsEncodedLocation()->[None]
4b6e0bd1,Jaikiran Pai,2017-07-03 14:52:01,"IVY-1562 Fix potential double encoding of ""location"" value of ""extends"" element in the ivy descriptor",src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java,parseParentModuleOnFilesystem(String)->parseParentModuleOnFilesystem(String)
4b6e0bd1,Jaikiran Pai,2017-07-03 14:52:01,"IVY-1562 Fix potential double encoding of ""location"" value of ""extends"" element in the ivy descriptor",test/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParserTest.java,[None]->testExtendsEncodedLocation()
c4828bfd,Nicolas Lalevée,2017-07-02 19:23:21,properly release the file descriptors and avoid duplicate code,test/java/org/apache/ivy/ant/IvyPublishTest.java,"testMergeParentWithoutPublishingParentForceDeliver()->testMergeParentWithoutPublishingParentForceDeliver(); testMinimalMerge()->testMinimalMerge(); testMergeExtraAttributes()->testMergeExtraAttributes(); testMergeParent()->testMergeParent(); testMergeExtraAttributesFromParent()->testMergeExtraAttributesFromParent(); [None]->checkPublishedFile(File,String); testMergeParentWithoutLocationAttribute()->testMergeParentWithoutLocationAttribute(); testMergeParentWithoutPublishingParent()->testMergeParentWithoutPublishingParent()"
d9665bfc,twogee,2017-06-29 14:36:29,Generics and Java 7 syntax in plugins package,src/java/org/apache/ivy/plugins/circular/AbstractLogCircularDependencyStrategy.java,
