method,issue
org.apache.ivy.ant.IvyBuildList.doExecute(),
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",IVY-1376
"org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData)",
"org.apache.ivy.plugins.report.LogReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",
"org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport)",
"org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage)",
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions)",
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions)",
org.apache.ivy.ant.IvyResolve.doExecute(),
"org.apache.ivy.Main.run(CommandLineParser, String[])",IVY-1252
"org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)",
org.apache.ivy.ant.IvyPublish.doExecute(),
"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)","IVY-1252, IVY-1044"
"org.apache.ivy.core.resolve.ResolveEngine.resolveConflict(VisitNode, VisitNode, String, Collection)",
"org.apache.ivy.core.install.InstallEngine.install(ModuleRevisionId, String, String, InstallOptions)",
"org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map)",
"org.apache.ivy.core.check.CheckEngine.check(URL, String)",
"org.apache.ivy.core.deliver.DeliverEngine.deliver(ModuleRevisionId, String, String, DeliverOptions)",
org.apache.ivy.core.resolve.IvyNode.getArtifacts(String),
org.apache.ivy.ant.IvyPostResolveTask.prepareAndCheck(),
"org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean)",
"org.apache.ivy.plugins.report.XmlReportWriter.ouputRevision(ConfigurationResolveReport, PrintWriter, List, IvyNode)",
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleRevisionId, Collection, String, PublishOptions)",
"org.apache.ivy.core.search.SearchEngine.findModuleRevisionIds(DependencyResolver, ModuleRevisionId, PatternMatcher)",
org.apache.ivy.ant.IvyDeliver.doExecute(),
"org.apache.ivy.core.resolve.ResolveEngine.doFetchDependencies(VisitNode, String)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printInfoTag(ModuleDescriptor, PrintWriter)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printDependencies(ModuleDescriptor, PrintWriter)",
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date)",IVY-996
"org.apache.ivy.plugins.resolver.ChainResolver.getDependency(DependencyDescriptor, ResolveData)",
"org.apache.ivy.plugins.repository.vsftp.VsftpRepository.readResponse(boolean, long)",
"org.apache.ivy.ant.IvyReport.genStyled(String[], File, String)",
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",
"org.apache.ivy.plugins.repository.vsftp.VsftpRepository.get(String, File)",
"org.apache.ivy.plugins.resolver.packager.PackagerCacheEntry.build(Resource, Map)",
"org.apache.ivy.util.Configurator.setAttribute(String, String)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.doFindModuleInCache(ModuleRevisionId, CacheMetadataOptions, String)",
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.transformInstance(ModuleDescriptor, Namespace)",
"org.apache.ivy.core.resolve.ResolveEngine.downloadArtifacts(ResolveReport, Filter, DownloadOptions)",
org.apache.ivy.ant.IvyRepositoryReport.doExecute(),
org.apache.ivy.ant.IvyReport.doExecute(),
org.apache.ivy.util.Configurator.startCreateChild(String),
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.resolveTokenValues(String[], String, Map, boolean)",
"org.apache.ivy.util.cli.CommandLineParser.printHelp(PrintWriter, int, String, boolean)",
"org.apache.ivy.plugins.resolver.util.ResolverHelper.listTokenValues(URLLister, String, String)",
"org.apache.ivy.util.ConfigurationUtils.replaceWildcards(String[], ModuleDescriptor)",
"org.apache.ivy.plugins.resolver.util.ResolverHelper.listTokenValues(Repository, String, String)",
"org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream)",
"org.apache.ivy.core.resolve.ResolveEngine.handleTransiviteEviction(ModuleDescriptor, String[], ResolveData, List)",
"org.apache.ivy.plugins.resolver.BasicResolver.checkDescriptorConsistency(ModuleRevisionId, ModuleDescriptor, ResolvedResource)",
"org.apache.ivy.ant.IvyArtifactReport.generateXml(IvyNode[], Map, Map)",
"org.apache.ivy.Ivy.resolve(URL, ResolveOptions)",
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.addDependency(Resource, PomDependencyData)",
"org.apache.ivy.core.settings.XmlSettingsParser.settingsStarted(String, Map)",IVY-1044
"org.apache.ivy.core.settings.XmlSettingsParser.inConfiguratorStarted(String, Map)",
org.apache.ivy.Ivy.bind(),
org.apache.ivy.ant.IvyArtifactReport.doExecute(),
"org.apache.ivy.plugins.resolver.RepositoryResolver.findResourceUsingPattern(ModuleRevisionId, String, Artifact, ResourceMDParser, Date)",
org.apache.ivy.ant.IvyCacheTask.getAllArtifactReports(),
org.apache.ivy.ant.IvyExtractFromSources.execute(),
"org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer, Stack)",MyIssue-2
"org.apache.ivy.util.FileUtil.symlink(File, File, CopyProgressListener, boolean)",IVY-1252
org.apache.ivy.ant.IvyInstall.doExecute(),
"org.apache.ivy.util.url.ApacheURLLister.retrieveListing(URL, boolean, boolean)",
org.apache.ivy.tools.analyser.JarJarDependencyAnalyser.analyze(JarModule[]),
org.apache.ivy.ant.AntBuildTrigger.progress(IvyEvent),
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getDependencyConfigurations(String, String)",
org.apache.ivy.plugins.repository.url.URLRepository.list(String),
"org.apache.ivy.plugins.resolver.util.ResolverHelper.findAll(Repository, ModuleRevisionId, String, Artifact)",IVY-996
"org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String)",
"org.apache.ivy.plugins.report.XmlReportWriter.outputArtifacts(ConfigurationResolveReport, PrintWriter, IvyNode)",
org.apache.ivy.ant.IvyTask.execute(),
"org.apache.ivy.util.FileUtil.copy(InputStream, OutputStream, CopyProgressListener)",IVY-1252
"org.apache.ivy.plugins.resolver.BasicResolver.parse(ResolvedResource, DependencyDescriptor, ResolveData)",
org.apache.ivy.ant.IvyInfo.doExecute(),
org.apache.ivy.plugins.resolver.IBiblioResolver.findSnapshotVersion(ModuleRevisionId),
"org.apache.ivy.core.resolve.IvyNode.handleConfiguration(boolean, String, IvyNode, String, String, boolean, IvyNodeUsage)",
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.transformInstance(DependencyDescriptor, NamespaceTransformer, boolean)",
"org.apache.ivy.core.resolve.ResolveEngine.computeConflicts(VisitNode, VisitNode, String, Collection, Collection)",
org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository.getSession(String),
org.apache.ivy.ant.IvyCacheFileset.doExecute(),IVY-1272
org.apache.ivy.core.settings.XmlSettingsParser.endDocument(),
"org.apache.ivy.ant.IvyPostResolveTask.getConfsToResolve(ModuleDescriptor, String, String[])",
"org.apache.ivy.core.resolve.IvyNode.getDependencies(String, String, String)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter)",
org.apache.ivy.core.event.IvyEventFilter.parseExpression(String),
"org.apache.ivy.plugins.report.XmlReportWriter.outputCallers(ConfigurationResolveReport, PrintWriter, IvyNode)",
"org.apache.ivy.ant.IvyInfo.setProperties(ModuleDescriptor, ModuleRevisionId)",
org.apache.ivy.tools.analyser.JarModuleFinder.findJarModules(),
org.apache.ivy.core.module.id.ModuleRevisionId.decode(String),
org.apache.ivy.ant.IvyBuildNumber.computeNewRevision(String),
"org.apache.ivy.plugins.resolver.ChainResolver.download(Artifact[], DownloadOptions)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printConfigurations(ModuleDescriptor, PrintWriter)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printAllExcludes(ModuleDescriptor, PrintWriter)",
org.apache.ivy.ant.IvyVar.doExecute(),
org.apache.ivy.core.IvyContext.getContext(),
org.apache.ivy.util.XMLHelper.escape(String),
