method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",22,401,13,110,165,26,8,74,11,17128,3,210,0.04347826086956519,0.20844189682126107,0.35135135135135137,0.13142174432497014,0.9314285714285714,0.7142857142857143,0.023391812865497075,0.9367088607594937,1.0,0.07417865587998372,0.00045662100456621003,9.346037624374966e-06,0.36286653346980496
org.apache.ivy.ant.IvyResolve.doExecute(),22,757,14,107,177,36,21,60,5,41234,2,202,0.04347826086956519,0.3939551849921834,0.3783783783783784,0.12783751493428913,1.0,1.0,0.06140350877192982,0.759493670886076,0.45454545454545453,0.17857792483391222,0.00030441400304414006,8.988294557413245e-06,0.334578041863333
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",19,754,21,137,127,25,11,75,3,180735,17,597,0.17391304347826086,0.392391870766024,0.5675675675675675,0.16367980884109917,0.7142857142857143,0.6857142857142857,0.03216374269005848,0.9493670886075949,0.2727272727272727,0.7827346666551177,0.0025875190258751904,2.665185848864823e-05,0.307885443032117
org.apache.ivy.ant.IvyBuildList.doExecute(),22,98,8,26,129,27,13,55,9,4269,0,24,0.04347826086956519,0.05054715997915581,0.21621621621621623,0.03106332138590203,0.7257142857142858,0.7428571428571429,0.038011695906432746,0.6962025316455697,0.8181818181818182,0.018488363028470952,1e-13,1.0285113175149484e-06,0.3023596858059959
"org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData)",16,502,15,113,136,23,43,71,0,197154,31,3509,0.30434782608695654,0.2610734757686295,0.40540540540540543,0.13500597371565112,0.7657142857142857,0.6285714285714286,0.12573099415204678,0.8987341772151899,1e-13,0.8538427558011624,0.0047184170471841706,0.00015687033486271477,0.2814416917276511
"org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)",4,716,18,139,113,22,10,64,7,531,0,50,0.8260869565217391,0.3725898905680042,0.4864864864864865,0.16606929510155316,0.6342857142857142,0.6,0.029239766081871343,0.810126582278481,0.6363636363636364,0.0022996769192124796,1e-13,2.1911762851405424e-06,0.2711791237895321
"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, RetrieveOptions)",14,263,14,55,141,31,10,59,3,1114,0,43,0.3913043478260869,0.136529442417926,0.3783783783783784,0.06571087216248507,0.7942857142857143,0.8571428571428571,0.029239766081871343,0.7468354430379747,0.2727272727272727,0.0048245576045248635,1e-13,1.8781511015490364e-06,0.2702185604990631
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions)",22,413,15,91,146,22,10,69,2,96501,11,1374,0.04347826086956519,0.2146951537258989,0.40540540540540543,0.1087216248506571,0.8228571428571428,0.6,0.029239766081871343,0.8734177215189873,0.18181818181818182,0.4179305506232081,0.0016742770167427702,6.13976538673054e-05,0.26423779841443396
"org.apache.ivy.Main.run(CommandLineParser, String[])",22,638,18,146,143,25,6,79,1,13174,0,10,0.04347826086956519,0.33194372068785827,0.4864864864864865,0.17443249701314217,0.8057142857142857,0.6857142857142857,0.017543859649122806,1.0,0.09090909090909091,0.05705450797307949,1e-13,4.0246095033193635e-07,0.26245183307120146
"org.apache.ivy.core.install.InstallEngine.install(ModuleRevisionId, String, String, InstallOptions)",19,664,13,104,121,15,11,70,5,8806,0,34,0.17391304347826086,0.34549244398124024,0.35135135135135137,0.12425328554360812,0.68,0.4,0.03216374269005848,0.8860759493670886,0.45454545454545453,0.038137391620687563,1e-13,1.4756901512171001e-06,0.24685970462300164
