method,pattern,space,score,target,issue
"org.apache.pdfbox.util.PDFMergerUtility.appendDocument(PDDocument, PDDocument)",,"org.apache.pdfbox.util.PDFMergerUtility.appendDocument(PDDocument, PDDocument)",0.3451641315181562,,
"org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.loadDescriptorDictionary(PDFontDescriptorDictionary, InputStream)",,"org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.loadDescriptorDictionary(PDFontDescriptorDictionary, InputStream)",0.3072996470431185,,
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),HotRecur,org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),0.2917390281534979,"org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(), org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken()","PDFBOX-2893, PDFBOX-1893"
org.apache.pdfbox.ExtractText.startExtraction(String[]),HotExec,org.apache.pdfbox.ExtractText.startExtraction(String[]),0.25988647185579133,,
"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean)",,"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean)",0.25987177550989204,"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean), org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean), org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean)","PDFBOX-3295, PDFBOX-2893, PDFBOX-1973"
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.toString(),,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.toString(),0.2537220653390095,,
org.apache.pdfbox.util.PDFTextStripper.writePage(),,org.apache.pdfbox.util.PDFTextStripper.writePage(),0.24292169739483602,org.apache.pdfbox.util.PDFTextStripper.writePage(),PDFBOX-2126
"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)",,"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)",0.23294351587477355,"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions), org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions), org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)","PDFBOX-2883, PDFBOX-2892, PDFBOX-1973"
"org.apache.pdfbox.filter.FlateFilter.decodePredictor(int, int, int, int, InputStream)",,"org.apache.pdfbox.filter.FlateFilter.decodePredictor(int, int, int, int, InputStream)",0.2214207995067811,"org.apache.pdfbox.filter.FlateFilter.decodePredictor(int, int, int, int, InputStream)",PDFBOX-1893
"org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess)",,"org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess)",0.20570569770441352,,
org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean),FreqExec,"org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean), org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(), org.apache.pdfbox.pdfparser.BaseParser.parseDirObject()",0.20269839970417716,"org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean), org.apache.pdfbox.pdfparser.BaseParser.parseDirObject()","PDFBOX-2893, PDFBOX-2893"
"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseObjectDynamically(int, int, boolean)",,"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseObjectDynamically(int, int, boolean)",0.20092486037734777,"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseObjectDynamically(int, int, boolean)",PDFBOX-1973
org.apache.pdfbox.PDFToImage.main(String[]),,org.apache.pdfbox.PDFToImage.main(String[]),0.19039636224935652,,
org.apache.pdfbox.pdfparser.NonSequentialPDFParser.initialParse(),,org.apache.pdfbox.pdfparser.NonSequentialPDFParser.initialParse(),0.18630787370248836,org.apache.pdfbox.pdfparser.NonSequentialPDFParser.initialParse(),PDFBOX-1973
org.apache.pdfbox.pdmodel.font.PDType1CFont.load(),HotCallee,org.apache.pdfbox.pdmodel.font.PDType1CFont.load(),0.18628290031314534,,
org.apache.pdfbox.PDFSplit.split(String[]),,org.apache.pdfbox.PDFSplit.split(String[]),0.18300175482700431,,
"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseDictObjects(COSDictionary, COSName...)",,"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseDictObjects(COSDictionary, COSName...)",0.17991572984060625,,
"org.apache.pdfbox.pdmodel.font.PDType1AfmPfbFont.load(PDDocument, InputStream, InputStream)",,"org.apache.pdfbox.pdmodel.font.PDType1AfmPfbFont.load(PDDocument, InputStream, InputStream)",0.179201588800457,,
