Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Blogs - Username,Blogs - Email Address,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,Machine Readable Info,External issue URL,Flags,Rank
PDFBox,PDFBOX-2004,PDF2Image hangs/loops forever processing PDF,Bug,Closed,Major,Duplicate,Andreas Lehmkühler,Ed Sawdon,Ed Sawdon,3/27/2014 16:55,6/20/2017 6:25,4/17/2014 8:10,4/17/2014 8:06,1.8.4,1.8.5,Rendering,,0,3,,,,,,,PDFBOX-1917,"Windows 7 x64, Java 7.0 and Oracle Linux, Java 6","When the attached PDF file is rendered to a JPG image it causes PDFBox to loop forever. 

The problem is easily produced using the PDFBox example org.apache.pdfbox.PDF2Image with the following command line options:- 

-imageType jpg -outputPrefix OUT- Hang.pdf 

The fault is new to 1.8.4. As a workaround, we are using 1.8.3 which does not suffer. 
We have found many such files and have identified this one as I can share it publicly.",,,,,,,,3/27/2014 20:59,,,,"3 years, 9 weeks, 4 days ago",,382362,,,Restricted to agents,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,382632,,,,,,,0|i1tvif:
PDFBox,PDFBOX-2005,JDK 1.8 build fails in TestTTFParser,Bug,Closed,Major,Fixed,Unassigned,Tilman Hausherr,Tilman Hausherr,3/27/2014 21:02,,3/17/2016 19:07,10/14/2014 7:12,2.0.0,2.0.0,,,0,2,,,,,,,,,"I installed JDK 1.8 and now the build fails because one of the tests fail: 

Tests run: 1, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 0.278 sec <<< FAILURE! 
testPostTable(org.apache.pdfbox.pdmodel.font.TestTTFParser) Time elapsed: 0.155 sec <<< FAILURE! 
junit.framework.ComparisonFailure: expected:<parenright[bigg]> but was:<parenright[]> 

Did anybody else install JDK 1.8?",,,,,,,JDK1.8,3/29/2014 19:40,,,,"2 years, 35 weeks, 6 days ago",,382435,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,382704,,,,,,,0|i1tvxz:
PDFBox,PDFBOX-2006,Glyphs rendered at the same spot,Bug,Closed,Major,Duplicate,Unassigned,Tilman Hausherr,Tilman Hausherr,3/28/2014 19:17,6/20/2017 6:47,4/20/2014 21:56,4/20/2014 21:56,2.0.0,,Rendering,,0,1,,,,,,,PDFBOX-62,,Page 1 of the attached file has the glyphs of one block all rendered at the same spot. This does not happen in 1.8.,,,,,,,,,,,,"3 years, 12 weeks, 3 days ago",,382679,,,Restricted to agents,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,382947,,,,,,,0|i1txfz:
PDFBox,PDFBOX-2007,Performance regression since PDFRenderer,Bug,Closed,Major,Fixed,Unassigned,François Bernier,François Bernier,4/2/2014 1:33,,3/17/2016 19:06,4/4/2014 23:01,2.0.0,2.0.0,Rendering,,0,3,,,,,,,,,"Hi, 

I have the following toy project where I use PDFBox: https://github.com/fbernier/taz-clj 

I've been using the snapshot versions of PDFBox for quite a while and recently since the move from RenderUtil#convertToImage to PDFRenderer#renderImage (this commit: https://github.com/fbernier/taz-clj/commit/47917d494f2a9a0999da7f36827c45145d4bb42c), there is quite a big performance regression. If I change the PDFBox dependency to 1.8.x, everything is good. Here are my benchmarks: 

PDFBox 1.8.x: 
Running 1m test @ http://127.0.0.1:8080/testing.pdf?page=1 
4 threads and 4 connections 
Thread Stats Avg Stdev Max +/- Stdev 
Latency 208.98ms 58.27ms 391.43ms 52.08% 
Req/Sec 4.63 1.73 8.00 62.88% 
1224 requests in 1.00m, 72.34MB read 
Requests/sec: 20.40 
Transfer/sec: 1.21MB 

PDFBox 2.0.0: 
Running 1m test @ http://127.0.0.1:8080/testing.pdf?page=1 
4 threads and 4 connections 
Thread Stats Avg Stdev Max +/- Stdev 
Latency 920.25ms 378.94ms 2.76s 91.38% 
Req/Sec 0.80 0.40 1.00 80.17% 
275 requests in 1.00m, 15.85MB read 
Requests/sec: 4.58 
Transfer/sec: 270.41KB 


I have not looked any further than this and have no more data to give you (yet).",,,,,,,"perfomance, regression",4/2/2014 6:34,,,,"3 years, 11 weeks ago",,384399,,,Restricted to agents,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,384667,,,,,,,0|i1u827:
PDFBox,PDFBOX-2008,Off-by-one error in BaseParser.readGenerationNumber(),Bug,Closed,Major,Fixed,Unassigned,Christian S.,Christian S.,4/2/2014 16:07,,5/2/2014 6:12,4/2/2014 18:19,"1.8.4, 1.8.5, 2.0.0","1.8.5, 2.0.0",,,0,3,,900,900,,0%,,,,"wrong: 
if(retval < 0 || retval >= GENERATION_NUMBER_THRESHOLD) ... 

correct: 
if(retval < 0 || retval > GENERATION_NUMBER_THRESHOLD) ... 

The method comment describes the correct behavior: 
""if the integer value has more than the maximum object revision (i.e. : bigger than {@link #GENERATION_NUMBER_THRESHOLD}) ..."" 

This is not a theoretical bug. I've scanned our database of quite a few pdf documents and found one which were not readable / mergeable by PdfBox: 

java.io.IOException: Generation Number '65535' has more than 5 digits 
at org.apache.pdfbox.pdfparser.BaseParser.readGenerationNumber(BaseParser.java:1629) 
at org.apache.pdfbox.pdfparser.PDFParser.parseObject(PDFParser.java:574) 
at org.apache.pdfbox.pdfparser.PDFParser.parse(PDFParser.java:194) 
at org.apache.pdfbox.pdmodel.PDDocument.load(PDDocument.java:1219) 
at org.apache.pdfbox.pdmodel.PDDocument.load(PDDocument.java:1186) 
at org.apache.pdfbox.util.PDFMergerUtility.mergeDocuments(PDFMergerUtility.java:191) 
",,0%,0%,,900,900,,4/2/2014 18:11,,,,"3 years, 7 weeks, 4 days ago",,384537,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,384805,,,,,,,0|i1u8wf:
PDFBox,PDFBOX-2009,PDFStreamEngine.processEncodedText incorrectly handling UTF-16 text with BOM FEFF,Bug,Closed,Major,Not A Problem,Unassigned,Philip Helger,Philip Helger,4/2/2014 17:32,,6/17/2014 19:44,6/17/2014 19:44,2.0.0,2.0.0,Text extraction,,0,3,,,,,,,,,"When having a text print operation like 
<FEFF21222193219103B103A003A6> Tj 
than the PDFStreamEngine.processEncodedText does not handle this correctly. 
Am I correct that if a BOM was determined, the codelength should be set to 2 (and not be changed)? Or should alternatively simply the BOM be skipped? 

It may be related to PDFBOX-920",,,,,,,,4/3/2014 17:25,,,,"3 years, 6 days ago",,384565,,,Restricted to agents,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,384833,,,,,,,0|i1u92n:
PDFBox,PDFBOX-2010,"Please make ""protected PDFont getDescendantFont()"" public as it is in 2.0.0",Wish,Closed,Major,Fixed,Tilman Hausherr,Philip Helger,Philip Helger,4/2/2014 17:56,,5/2/2014 6:12,4/2/2014 18:50,1.8.4,1.8.5,PDModel,,0,4,,,,,,,,,Would be great to have this for 1.8.5 inside! Thanks,,,,,,,,4/2/2014 18:50,,,,"3 years, 7 weeks, 4 days ago",,384571,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,384839,,,,,,,0|i1u93z:
PDFBox,PDFBOX-2011,"Please extend base class ""Encoding"" with 2 methods to access global name2char and char2name maps",Wish,Closed,Major,Won't Fix,Unassigned,Philip Helger,Philip Helger,4/2/2014 17:59,,10/14/2014 7:15,10/14/2014 7:15,"1.8.4, 2.0.0",2.0.0,PDModel,,0,3,,,,,,,,,"Hi! 

It would be kind if you could extend the Encoding base class with the following 2 methods so that external access to the static maps is easier: 

public static Map <String, String> getCharacterToNameMap () { 
return Collections.unmodifiableMap (CHARACTER_TO_NAME); 
} 

public static Map <String, String> getNameToCharacterMap () { 
return Collections.unmodifiableMap (NAME_TO_CHARACTER); 
} 

Thanks, Philip",,,,,,,,4/3/2014 17:08,,,,"2 years, 35 weeks, 6 days ago",,384573,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,384841,,,,,,,0|i1u94f:
PDFBox,PDFBOX-2012,Extend CMAPEncodingEntry API,Wish,Closed,Major,Won't Fix,Unassigned,Philip Helger,Philip Helger,4/2/2014 18:19,,10/14/2014 7:16,10/14/2014 7:16,"1.8.4, 2.0.0",2.0.0,FontBox,,0,3,,,,,,,,,"Please extend the API with the following 2 methods (incl. a minor performance improvement): 

### Eclipse Workspace Patch 1.0 
#P fontbox 
Index: src/main/java/org/apache/fontbox/ttf/CMAPEncodingEntry.java 
=================================================================== 
--- src/main/java/org/apache/fontbox/ttf/CMAPEncodingEntry.java (revision 1583927) 
+++ src/main/java/org/apache/fontbox/ttf/CMAPEncodingEntry.java (working copy) 
@@ -436,7 +436,7 @@ 
for (int i = 0; i < 256; i++) 
{ 
subHeaderKeys[i] = data.readUnsignedShort(); 
- maxSubHeaderIndex = Math.max(maxSubHeaderIndex, (int) (subHeaderKeys[i] / 8)); 
+ maxSubHeaderIndex = Math.max(maxSubHeaderIndex, subHeaderKeys[i] / 8); 
} 

// ---- Read all SubHeaders to avoid useless seek on DataSource 
@@ -556,18 +556,32 @@ 
*/ 
public int getGlyphId(int characterCode) 
{ 
- if (characterCodeToGlyphId.containsKey(characterCode)) 
- { 
- return characterCodeToGlyphId.get(characterCode); 
- } 
- else 
- { 
- return 0; 
- } 
+ Integer glyphId = characterCodeToGlyphId.get(characterCode); 
+ return glyphId == null ? 0 : glyphId.intValue (); 
} 
+ 
+ /** 
+ * Get the minimum character code for which a glyph id is present 
+ * 
+ * @return The minimum character code for which a glyph id is present or -1 if no character code is present. 
+ */ 
+ public int getMinimumCharacterCode() 
+ { 
+ return characterCodeToGlyphId.isEmpty () ? -1 : Collections.min (characterCodeToGlyphId.keySet ()).intValue (); 
+ } 

/** 
+ * Get the maximum character code for which a glyph id is present 
* 
+ * @return The maximum character code for which a glyph id is present or -1 if no character code is present. 
+ */ 
+ public int getMaximumCharacterCode() 
+ { 
+ return characterCodeToGlyphId.isEmpty () ? -1 : Collections.max (characterCodeToGlyphId.keySet ()).intValue (); 
+ } 
+ 
+ /** 
+ * 
* Class used to manage CMap - Format 2. 
* 
*/ 
",,,,,,,,4/2/2014 18:37,,,,"2 years, 35 weeks, 6 days ago",,384577,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,384845,,,,,,,0|i1u95b:
PDFBox,PDFBOX-2013,Please extend PDTrueTypeFont API,Wish,Closed,Major,Won't Fix,Unassigned,Philip Helger,Philip Helger,4/2/2014 18:23,,10/14/2014 8:30,10/14/2014 8:30,"1.8.4, 2.0.0",2.0.0,PDModel,,0,4,,,,,,,,,"Please extend the API to get the default width and the Unicode CMAP table (Patch for 2.0.0 SNAPSHOT): 

### Eclipse Workspace Patch 1.0 
#P pdfbox 
Index: src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java 
=================================================================== 
--- src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java (revision 1583927) 
+++ src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java (working copy) 
@@ -67,6 +67,9 @@ 

private static Properties externalFonts = new Properties(); 
private static Map<String, TrueTypeFont> loadedExternalFonts = new HashMap<String, TrueTypeFont>(); 
+ 
+ private int m_nDefaultWidth = -1; 
+ private CMAPEncodingEntry m_aUnicodeMap = null; 

static 
{ 
@@ -352,10 +355,11 @@ 
{ 
widths.add(defaultWidth); 
} 
+ 
// Encoding singleton to have acces to the chglyph name to 
// unicode cpoint point mapping of Adobe's glyphlist.txt 
Encoding glyphlist = WinAnsiEncoding.INSTANCE; 
- 
+ 
// A character code is mapped to a glyph name via the provided 
// font encoding. Afterwards, the glyph name is translated to a 
// glyph ID. 
@@ -380,9 +384,12 @@ 
} 
} 
} 
+ 
setWidths(widths); 
setFirstChar(firstChar); 
setLastChar(lastChar); 
+ setDefaultWidth(defaultWidth); 
+ setUnicodeMap(uniMap); 
} 
finally 
{ 
@@ -393,6 +400,26 @@ 
} 
} 

+ public int getDefaultWidth () 
+ { 
+ return m_nDefaultWidth; 
+ } 
+ 
+ public void setDefaultWidth (int defaultWidth) 
+ { 
+ m_nDefaultWidth = defaultWidth; 
+ } 
+ 
+ public CMAPEncodingEntry getUnicodeMap () 
+ { 
+ return m_aUnicodeMap; 
+ } 
+ 
+ public void setUnicodeMap (CMAPEncodingEntry aUnicodeMap) 
+ { 
+ m_aUnicodeMap = aUnicodeMap; 
+ } 
+ 
/** 
* Permit to load an external TTF Font program file 
* 
",,,,,,,,4/2/2014 20:26,,,,"2 years, 35 weeks, 6 days ago",,384579,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,384847,,,,,,,0|i1u95r:
PDFBox,PDFBOX-2014,PDAnnotationLink,Bug,Closed,Major,Invalid,Unassigned,WALID CHARFI,WALID CHARFI,4/4/2014 13:03,,11/6/2014 6:03,11/6/2014 6:03,1.6.0,,Writing,,0,3,,,,,,,,,"Hi, 

I want to draw a text link without any hover effect, neither solid border. 
I tried this code but it does not work. 
Could you provide me with a solution please? thank you very much. 

PDBorderStyleDictionary borderULine = new PDBorderStyleDictionary(); 
borderULine.setStyle(PDBorderStyleDictionary.STYLE_INSET); 
PDAnnotationLink txtLink = new PDAnnotationLink(); 
txtLink.setRectangle(position); 
PDActionURI action = new PDActionURI(); 
action.setURI(pdfPara.getUri()); 
txtLink.setAction(action); 
txtLink.setBorderStyle(borderULine); 
txtLink.setHighlightMode(PDAnnotationLink.HIGHLIGHT_MODE_NONE);",,,,,,,,5/3/2014 21:04,,,,"2 years, 32 weeks, 5 days ago",,384940,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,385207,,,,,,,0|i1ubdb:
PDFBox,PDFBOX-2015,Hybrid reference pdf still contain XRefStm info in the trailer dictionary afterPDDocument#save,Bug,Closed,Major,Fixed,Andreas Lehmkühler,Tim Costermans,Tim Costermans,4/6/2014 7:17,,12/13/2014 14:15,10/13/2014 20:38,"1.8.7, 2.0.0","1.8.8, 2.0.0",PDModel,,0,2,,,,,,,,,"Word2010.pdf is the input pdf, I open the document with PDFBOX add a string to the pdf. In this case ‘Hello world!’. 
Afterwards I save the pdf. 

If I look at the content of the pdf before and after I modified it (using Notepad++) I see this: 

Word2010.pdf: 
Line 647: <</Size 18/Root 1 0 R/Info 7 0 R/ID[<AE9AF29D5A22AE47B47C4DA29170BE64><AE9AF29D5A22AE47B47C4DA29170BE64>] /Prev 81972/XRefStm 81702>> 

modified_Word2010.pdf: 
Line 791: /XRefStm 81702 

XRefStm is not updated although the original pdf had multiple revisions that were merged into a new pdf document. 

A third party library we use defends on this XRefStm value and cannot open the pdf after it was modified. (Stack trace see previous msg) 
Any help would be much appreciated. 

Maruan: 
that’s a bug. 

Explanation: The original file uses what’s called a hybrid reference. That’s for compatibility with readers which do not support compressed reference streams. The file generated by PDFBox doesn’t use hybrid references any more but still contains the XRefStm info in the trailer dictionary. 


See http://mail-archives.apache.org/mod_mbox/pdfbox-users/201403.mbox/%3C4425DF0D5759D64AA8845AA3EC444E1D014AE30AB3%40EXCHANGE03.unifiedpost.com%3E for more info.",,,,,,,,10/13/2014 20:38,,,,"2 years, 36 weeks ago",,385153,,,Restricted to agents,,,,,,,,,,,3,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,385420,,,,,,,0|i1ucon:
PDFBox,PDFBOX-2016,Stream parsing still incorrect if length value is wrong,Bug,Closed,Major,Fixed,Tilman Hausherr,Andrew Olsen,Andrew Olsen,4/7/2014 9:56,6/20/2017 6:26,8/28/2014 22:22,4/8/2014 16:58,"1.6.0, 1.8.4","1.8.5, 2.0.0",Parsing,,0,3,,7200,7200,,0%,,"PDFBOX-1634, PDFBOX-2296, PDFBOX-1333",,"From issue PDFBOX-1333 - ""In 1.7.0 stream parsing in BaseParser was optimized to use length value if available. The advantage is faster parsing and independence of 'endstream' bytes sequences in stream. However the disadvantage is that streams with wrong length values cannot be parsed anymore"" - etc. 

This issue was marked as fixed now that COSStreams can once again be parsed by reading all the way to 'endstream'. However, the resulting COSStream object still contains the expected length, not the true length. When parsing the COSStream with a PDFStreamParser, the call to COSStream#getUnfilteredStream uses getLength() instead of getLengthWritten to limit the amount of data that can be read. This can truncate the stream and means that incorrect length values still lead to missing data, and so limits the usefulness of the last fix. Changing the call to getLengthWritten should solve the problem. 

",,0%,0%,,7200,7200,,4/7/2014 14:58,,,,"3 years, 7 weeks, 4 days ago",,385237,,,Restricted to agents,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,385504,,,,,,,0|i1ud7b:
PDFBox,PDFBOX-2017,[PATCH] Configure pdfbox for missing font file,Bug,Closed,Major,Won't Fix,Unassigned,simon steiner,simon steiner,4/7/2014 11:26,6/20/2017 6:26,7/3/2014 1:18,7/3/2014 1:18,,,,,0,2,,,,,,,,,"Report a warning when font file is missing and allow user to configure font files 
Consider failing pdfbox on first exception otherwise exception can be repeated for each character in a pdf taking a long time for pdfbox to run",,,,,,,,7/3/2014 1:18,,,,"2 years, 50 weeks, 5 days ago",,385249,,,Restricted to agents,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,385516,,,,,,,0|i1ud9z:
PDFBox,PDFBOX-2018,Dashed line with incorrect line cap,Bug,Closed,Minor,Fixed,Tilman Hausherr,Tilman Hausherr,Tilman Hausherr,4/7/2014 15:17,,5/2/2014 6:12,4/7/2014 15:22,1.8.5,1.8.5,Rendering,,0,2,,,,,,,"PDFBOX-1954, PDFBOX-1830",,"The dashed lines of p.9, 10 and 11 of the PDFBOX-1917 file look different in 1.8 and in 2.0. IMHO, they look better in 1.8, however after debugging I found out that 2.0 is correct. I found a place in 1.8 where a BasicStroke object is initialized with ""default values"", and looking at the java source code it is a square cap, and that is incorrect, it must be a BUTT cap.",,,,,,,,5/2/2014 6:12,,,,"3 years, 7 weeks, 4 days ago",,385290,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,385557,,,,,,,0|i1udj3:
PDFBox,PDFBOX-2019,Annotations produced by Annotation.java example are not rendered correctly,Bug,Open,Major,Unresolved,Unassigned,Stan Taylor,Stan Taylor,4/7/2014 18:53,,3/25/2017 18:09,,2.0.0,3.0.0,Rendering,,2,10,,,,,,,"PDFBOX-2507, PDFBOX-3353","Windows 7 
java version ""1.7.0_04"" 
Java(TM) SE Runtime Environment (build 1.7.0_04-b22) 
Java HotSpot(TM) 64-Bit Server VM (build 23.0-b21, mixed mode)","The sample PDF produced by /examples/src/main/java/org/apache/pdfbox/examples/pdmodel/Annotation.java cannot be properly displayed by the pdfbox-app-2.0.0-SNAPSHOT's PDFReader function -- the circle, square, and line annotations are not visible. 

Unknown if this is a problem with the Annotation.java example, the pdfbox-app, or with the library itself.",,,,,,,Annotations,4/7/2014 19:45,,,,"1 year, 4 weeks, 6 days ago",,385327,,,Restricted to agents,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,385594,,,,,,,0|i1udrb:
PDFBox,PDFBOX-2020,PDF/A Validation raises NullPointerException for PDFs without ImageColorSpace,Bug,Closed,Major,Fixed,Tilman Hausherr,Ulrich Wohlfeil,Ulrich Wohlfeil,4/8/2014 19:22,,9/19/2014 14:40,7/29/2014 19:22,"1.8.6, 1.8.7, 2.0.0","1.8.7, 2.0.0",Preflight,,1,5,,,,,,,PDFBOX-2248,"Windows 7, Sun JDK7 64Bit","TestCode: Example Code http://pdfbox.apache.org/cookbook/pdfavalidation.html 

If i check a PDF without ImageColorSpace the example Code raises the following NullPointerException: 
Exception in thread ""main"" java.lang.NullPointerException 
at org.apache.pdfbox.preflight.content.ContentStreamEngine.validImageColorSpace(ContentStreamEngine.java:323) 
at org.apache.pdfbox.preflight.content.ContentStreamWrapper.processOperator(ContentStreamWrapper.java:179) 
at org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:254) 
at org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:221) 
at org.apache.pdfbox.util.PDFStreamEngine.processStream(PDFStreamEngine.java:203) 
at org.apache.pdfbox.preflight.content.ContentStreamWrapper.validPageContentStream(ContentStreamWrapper.java:76) 
at org.apache.pdfbox.preflight.process.reflect.SinglePageValidationProcess.validateContent(SinglePageValidationProcess.java:180) 
at org.apache.pdfbox.preflight.process.reflect.SinglePageValidationProcess.validate(SinglePageValidationProcess.java:88) 
at org.apache.pdfbox.preflight.utils.ContextHelper.callValidation(ContextHelper.java:73) 
at org.apache.pdfbox.preflight.utils.ContextHelper.validateElement(ContextHelper.java:52) 
at org.apache.pdfbox.preflight.process.PageTreeValidationProcess.validatePage(PageTreeValidationProcess.java:58) 
at org.apache.pdfbox.preflight.process.PageTreeValidationProcess.validate(PageTreeValidationProcess.java:47) 
at org.apache.pdfbox.preflight.utils.ContextHelper.callValidation(ContextHelper.java:73) 
at org.apache.pdfbox.preflight.utils.ContextHelper.validateElement(ContextHelper.java:88) 
at org.apache.pdfbox.preflight.PreflightDocument.validate(PreflightDocument.java:169) 
at PdfBox.main(PdfBox.java:33) 

I think the method org.apache.pdfbox.pdmodel.PDResources.getColorSpaces (PDResources.java:311) did not return a object if their is no image color space but the code line org.apache.pdfbox.preflight.content.ContentStreamEngine.validImageColorSpace(ContentStreamEngine.java:323) expects a object in any case.",,,,,,,"pdf/a, validation",4/8/2014 19:57,,,,"2 years, 46 weeks, 6 days ago",,385566,,,Restricted to agents,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,385832,,,,,,,0|i1uf7z:
