sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
1;org.apache.pdfbox.cos.COSInteger.equals(Object);17;4;7;1;1
2;org.apache.pdfbox.pdmodel.common.PDRectangle.PDRectangle(BoundingBox);168;7;52;3;3
3;org.apache.pdfbox.pdmodel.PDDocument.getSignatureDictionary();21;0;0;7;6
4;org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.clear();2;0;0;1;1
5;org.apache.pdfbox.filter.LZWFilter.calculateChunk(int, int);5;2;2;0;0
6;org.apache.pdfbox.cos.COSDictionary.containsKey(COSName);257;11;59;0;0
7;org.apache.pdfbox.pdfparser.NonSequentialPDFParser.createTmpFile(InputStream);15;4;7;1;2
8;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.setToggleNoView(boolean);14;0;0;6;4
9;org.apache.pdfbox.Decrypt.usage();158;10;34;0;0
10;org.apache.pdfbox.pdmodel.edit.PDPageContentStream.appendRawCommands(float);165;15;48;0;0
11;org.apache.pdfbox.pdmodel.fdf.FDFTemplate.getTemplateReference();7;0;0;3;2
12;org.apache.pdfbox.pdmodel.interactive.action.type.PDAction.getNext();25;0;0;5;11
13;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine.setCaptionVerticalOffset(float);18;0;0;3;7
14;org.apache.pdfbox.pdmodel.PDResources.getFonts();279;8;44;12;48
15;org.apache.pdfbox.examples.signature.CMSProcessableInputStream.CMSProcessableInputStream(InputStream);3;1;2;0;0
16;org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption.setCanAssembleDocument(boolean);14;0;0;5;4
17;org.apache.pdfbox.pdmodel.graphics.color.ColorSpaceLab.ColorSpaceLab();2;1;1;0;0
18;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.incrementRevisionNumber();15;0;0;6;4
19;org.apache.pdfbox.pdmodel.PDPage.findCropBox();539;11;142;4;8
