# Methods with Time 4761
# Methods in Call Graph 6739
Layer#, #Methods, #ExecutedMethods, Total Time, Own Time, Execution Count
L0,590,138,3305, 286, 1519794
L1,277,141,3899, 373, 1637366
L2,292,180,252, 93, 670583
L3,288,159,3395, 169, 464353
L4,179,84,1394, 38, 18644
L5,160,91,5060, 22, 13262
L6,134,90,7974, 26, 11565
L7,164,101,7367, 43, 9083
L8,147,58,7519, 2, 5957
L9,122,51,7423, 17, 10173
L10,123,58,16243, 2, 1858
L11,60,21,22436, 0, 39
L12,41,12,10313, 0, 9
L13,2,1,121237, 0, 39
L14,3918,959,3854, 429, 258185
I0,242,74,1470, 238, 97474
